date,region,media_buyer,platform_id,account_name,account_type,agent,platform,spend_today_cumulative,spend_yesterday_cumulative,fee,actual_spend,spend_with_fee,notes
2025-07-01,DE,HW,1815567322519393,FV92-zs-tthd-1642,美金户,开户美国三不限户,nan,0.04,,,,,
2025-07-01,IN,SG,549740840492004,Momentus_client3-140425-5,印度户,深圳芳林子,65000.0,63251.55775,,1748.44225,2083.793474,,335.3512236
2025-07-01,IN,HW,768369575850195,VH_HK_9_ZYA-004,印度户,深圳芳林子,1268.202143,,,1268.202143,1485.825631,,217.6234877
2025-07-01,IN,HY,187091920981012,Momentus_client3-140425-4,印度户,深圳芳林子,6669.293125,3152.472375,,3516.82075,4191.34697,,674.5262199
2025-07-01,IN,YJ,928490121876088,Momentus_client3-140425-2,印度户,深圳芳林子,22800.44975,20858.88625,,1941.5635,2313.955379,,372.3918793
2025-07-01,IN,MY,998366051600669,Momentus_130225-1,印度企业户,B哥-印度户15➕1,953.888,88.137875,,865.750125,1005.56877,,139.8186452
2025-07-01,DE,SG,874825774392808,JNS-MIG-Goldp-100page--3-48,美金户,印度企业户 欧洲美金户,154.23,51.99,,102.24,114.5088,,12.2688
2025-07-01,DE,LYD,674341622174942,GAA-LY-40-B,美金户,凤凰&洛阳,15.72,,,15.72,18.078,,2.358
2025-07-01,DE,ZJ,270564665627111,BON-XANY-VND-0519-06,越南户,海总-黑泽-欧洲户对接,1962.29108,1935.28384,,27.00724,29.45949739,,2.452257392
2025-07-01,DE,ZJ,2089020051607698,Quu-2803,二不限,十月二不限——（泰华）,100.0,86.01,,13.99,14.1299,,0.1399
2025-07-01,DE,LYD,1815567322519393,FV92-zs-tthd-1642,美金户,开户美国三不限户,15.22,0.04,,15.18,16.2426,,1.0626
2025-07-02,IN,YK,715586863787702,Daniel Trading 04,印度企业户,海总新渠道,16.2325,,,16.2325,18.018075,,1.785575
2025-07-02,IN,HW,768369575850195,VH_HK_9_ZYA-004,印度户,深圳芳林子,2276.475476,1268.202143,,1008.273333,1181.293037,,173.019704
2025-07-02,IN,HW,1606662079955923,FirstBridge_GF_034,印度企业户,印度企业户 欧洲美金户,4012.848,,,4012.848,4654.90368,,642.05568
2025-07-02,IN,SG,549740840492004,Momentus_client3-140425-5,印度户,深圳芳林子,75403.82088,65000.0,,10403.82088,12399.27372,,1995.452844
2025-07-02,IN,YJ,928490121876088,Momentus_client3-140425-2,印度户,深圳芳林子,31569.01575,22800.44975,,8768.566,10450.37696,,1681.810959
2025-07-02,IN,MY,998366051600669,Momentus_130225-1,印度企业户,B哥-印度户15➕1,4524.016125,953.888,,3570.128125,4146.703817,,576.5756922
2025-07-02,IN,HY,187091920981012,Momentus_client3-140425-4,印度户,深圳芳林子,17573.565,6669.293125,,10904.27188,12995.71122,,2091.439346
2025-07-02,DE,SG,1227525025693051,Quu-2008,二不限,十月二不限——（泰华）,763.49,700.01,,63.48,64.1148,,0.6348
2025-07-02,DE,SG,874825774392808,JNS-MIG-Goldp-100page--3-48,美金户,印度企业户 欧洲美金户,199.69,154.23,,45.46,50.9152,,5.4552
2025-07-02,DE,YK,1592756984785015,ADA-MUSH-zoner99-0606(DCD1)(GMT +7)(USD)2016,美金户,启航,505.06,413.52,,91.54,105.409697,,13.86969697
2025-07-02,DE,LYD,674341622174942,GAA-LY-40-B,美金户,凤凰&洛阳,20.69,15.72,,4.97,5.7155,,0.7455
2025-07-03,DE,LYD,1370079980689617,OC-SFD-OB-GUO-0516-1,美金户,启航,nan,586.89,,,,,
2025-07-03,DE,LYD,1364872014664099,OC-SFD-OB-GUO-0520-1,美金户,启航,nan,396.71,,,,,
2025-07-03,DE,ZJ,1200298588103864,OC-SFD-OB-GUO-0520-2,美金户,启航,nan,,,,,,
2025-07-03,DE,ZJ,1017510920442509,OC-SFD-OB-GUO-0522-01,美金户,启航,nan,,,,,,
