date,media_buyer,region,team,ad_spend_usd,result_count,lead_count,platform,cost_per_lead,cost_per_result
2025-01-31,老郭,IN,SZ,242.24,28.0,5.0,,48.448,48.448
2025-01-30,紫光,IN,SZ,270.35,33.0,16.0,,16.896875,16.896875
2025-01-01,WD,IN,ZZ,0.0,0.0,0.0,,,
2025-01-01,MY,IN,ZZ,0.0,0.0,0.0,,,
2025-01-01,YJ,IN,ZZ,0.0,0.0,0.0,,,
2025-01-01,HY,IN,ZZ,539.41,52.0,20.0,,26.9705,26.9705
2025-01-01,SG,IN,ZZ,3575.1,623.0,276.0,,12.95326087,12.95326087
2025-01-01,ZJ,IN,ZZ,0.0,0.0,0.0,,,
2025-01-02,WD,IN,ZZ,2633.87,460.0,118.0,,22.3209322,22.3209322
2025-01-02,LYD,IN,ZZ,827.4,108.0,28.0,,29.55,29.55
2025-01-02,HY,IN,ZZ,864.02,160.0,72.0,,12.00027778,12.00027778
2025-01-02,MY,IN,ZZ,2819.37,414.0,125.0,,22.55496,22.55496
2025-01-02,YJ,IN,ZZ,4635.72,585.0,259.0,,17.89853282,17.89853282
2025-01-02,YK,IN,ZZ,3037.44,447.0,174.0,,17.45655172,17.45655172
2025-01-02,ZJ,IN,ZZ,1193.17,112.0,32.0,,37.2865625,37.2865625
2025-01-02,HW,IN,ZZ,1626.6,290.0,78.0,,20.85384615,20.85384615
2025-01-02,SG,IN,ZZ,3862.25,612.0,273.0,,14.1474359,14.1474359
2025-01-03,LYD,IN,ZZ,64.23,6.0,3.0,,21.41,21.41
2025-01-03,WD,IN,ZZ,0.0,0.0,1.0,,0.0,0.0
2025-01-03,YJ,IN,ZZ,4671.81,712.0,260.0,,17.9685,17.9685
2025-01-03,HW,IN,ZZ,919.23,220.0,38.0,,24.19026316,24.19026316
2025-01-03,YK,IN,ZZ,866.68,136.0,27.0,,32.09925926,32.09925926
2025-01-03,SG,IN,ZZ,3167.06,431.0,77.0,,41.13064935,41.13064935
2025-01-03,HY,IN,ZZ,7680.58,1110.0,401.0,,19.15356608,19.15356608
2025-01-03,MY,IN,ZZ,3587.82,455.0,117.0,,30.66512821,30.66512821
2025-01-03,ZJ,IN,ZZ,1062.99,225.0,56.0,,18.98196429,18.98196429
2025-01-04,SG,IN,ZZ,5195.54,685.0,201.0,,25.84845771,25.84845771
2025-01-04,HY,IN,ZZ,5529.78,1125.0,391.0,,14.14265985,14.14265985
2025-01-04,YK,IN,ZZ,2498.23,220.0,89.0,,28.07,28.07
2025-01-04,YJ,IN,ZZ,4777.2,881.0,386.0,,12.3761658,12.3761658
2025-01-04,WD,IN,ZZ,1646.78,358.0,106.0,,15.53566038,15.53566038
