10月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,10月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,,,渠道商,已减去手续费的充值,SG总消耗,SZ月总消耗,当天剩余广告费,日期,
凤凰&洛阳&15+1（1200）&8+1（60）,147767.8,33351.44,,114416.36,,29945.8,,,凤凰&洛阳&15+1（1200）&8+1（60）,84470.56,60549.29784,66697.72,39629.86216,2024-11-01 00:00:00,
GF&SHEN美国户 开10u 10%+u1,30054.09,,,30054.09,开户费40，充值手续费220，u1的手续费*1.01,3643.48,,,GF&SHEN美国户 开10u 10%+u1,26410.61,7565.28,2652.72,16192.61,2024-11-01 00:00:00,
GT&SHEN 台湾户 开 20 10%u1,16992.9,,,16992.9,"YLG-GT-SHEN-02(+8) (548240094229641)清零中1,309.26",2002.9,,,GT&SHEN 台湾户 开 20 10%u1,14990,1672.8,7630.72,5686.48,2024-11-01 00:00:00,
GT2&SHEN 欧 4%+u1,25311.54,,,25311.54,5200从美国户转过去的,1150,,,GT2&SHEN 欧 4%+u1,24161.54,6134.445476,6169.98,11857.11452,2024-11-01 00:00:00,
启航广告费,286627.73,,,286627.73,转款有一个点u损，开户费1700（10.1-10.18）,30890,,,启航广告费,255737.73,226694.6631,19530.79,9512.2769,2024-11-01 00:00:00,
BM户测试大白&,31344.74,,,31344.74,要退款16438.74,4690,,,BM户测试大白&,26654.74,5993.35,5816.42,14844.97,2024-11-01 00:00:00,
账单户广告费,22006.16,,,22006.16,,362.48,,,账单户广告费,24789.38,23216.53,23216.530000000002,3145.7,2024-11-01 00:00:00,
十月二不限-泰华,88387.9,,,88387.9,,1500.88,,,十月二不限-泰华,86887.02,5819.53,63116.72,17950.77,2024-11-01 00:00:00,
欧洲三不限-泰华709-Sherry,1905,,,1905,开户费*2=120，充值手续费285,405,,,欧洲三不限-泰华709-Sherry,1500,49.69047619,13.95,1436.359524,2024-11-01 00:00:00,
印度测户-黑泽明,5492.25,4988.35,,503.9,,492.25,,,印度测户-黑泽明,51.79,51.79,0,0,2024-11-01 00:00:00,
越南户测试-船奇,25875,,,25875,,375,,,FA-泰华印度1016（A-JIE） ,18000,1147.31,4766.38,12086.31,2024-11-01 00:00:00,
博程-欧洲美金户-泰华,7150,,,7150,开户费250，充值手续费750,3375,,,斯特普思-泰华,3500,0,2698,802,2024-11-01 00:00:00,
FA-泰华印度1016（A-JIE） ,20260,,,20260,,2260,,,深圳芳林子@SHEN 户,97222,63637.39,0,33584.61,2024-11-01 00:00:00,
斯特普思-泰华,4200,802,,3398,开户费420，10/26准备退802,700,,,BH欧洲户-泰华-欧洲企业户-6+1,959.6,0,0,959.6,2024-11-01 00:00:00,11/5退款
深圳芳林子@SHEN 户,110069.8,,,110069.8,,12847.8,,,邻点美国三不限户,3200,914.12,2340.47,0,2024-11-01 00:00:00,
