项目,消耗,进粉,单粉成本,打款,单粉价格,应收,备注,Unnamed: 10
印度凯旋城3期,170690.5150704,8585.0,19.88241294,329526.0,24.0,206040.0,,
印度16期,48430.93,2821.0,17.168000987954628,0.0,24.0,67704.0,15转16期174860，174860-67704=107156转17期,
印度17期,134475.25,7244.0,18.49,66700.0,24.0,173856.0,107156从16转17期，17期打款66700,
凯旋城印度4期,128898.37,6914.0,18.64309662,300000.0,27.0,186678.0,"$113,322.00转凯旋城印度5期","印度5期结余66,685转印度6期"
印度18期,164256.11,9142.0,17.96719646,200000.0,25.5,219408.0,,
德国测试,7389.386891503101,67.0,110.2893566,9045.0,135.0,1608.0,,
意大利测试,20074.239276893706,94.0,213.555737,16644.0,,16644.0,,
土耳其西港2期,18888.130791321204,325.0,58.11732551,0.0,60.0,7800.0,9月有打款，10月无打款,
"10月总计 打粉35192；广告消耗$693,102.93；共收款$921,915.00",,,,,,,,
,,,,,,,,
,,,,,,,,
,693102.932,35192.0,,921915.0,,,,
