项目,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
意大利测试,4823.79,23.0,209.73,2300.0,100.0,2300.0,0.0,,23,意大利,,,
印度5期,129440.8,5431.0,23.833695605398635,213322.0,27.0,146637.0,-66685.0,"已支付100000；印度4期转5期：113,322，印度5期结余66685转印度6期",5431,印度,,5431.0,
印度19期,108456.18,4700.0,23.075784014489365,200000.0,27.0,126900.0,-73100.0,4700*27=126900-预付200000=-73100（转20期）,4700,印度,,4700.0,
土耳其/A李信,155359.82,3683.0,42.18295411,205920.0,65.0,239395.0,33475.0,,3707,土耳其,,,
印度17期,5803.02,386.0,15.03373057,10422.0,27.0,10422.0,0.0,,386,印度,,386.0,
印度金山,254494.46,14518.0,17.529581346432014,241488.0,27.0,391986.0,150498.0,,14525,印度,,14525.0,
印度6期,72578.4,3291.0,17.62369994298089,166685.0,27.0,88857.0,-77828.0,"3291*27-5期结余66,685-6期总打款100,000=-77828(转印度8期)",3291,印度,,3291.0,
印度20期,154051.45,9162.0,16.81417213984938,273100.0,27.0,247374.0,-25726.0,19期的73100转20期，9162*27-73100-200000=-25726（转21期）,11月是9162,印度,,9162.0,
印度二元期权,10427.2837365,2114.0,4.932489942,16912.0,8.0,16912.0,0.0,,2278,期权,,,
印度天叶二期,147135.8439469,7470.0,19.696900126760372,183000.0,27.0,201690.0,18690.0,只有11月的，没有12月的,6436,印度,11月有效6436，11月+12月有效6971,6971.0,
印度海哥,20969.055964879997,1206.0,17.38727691946932,60000.0,28.0,33768.0,-26232.0,总打款6W，一共进了总进粉是2170  ，有效是2070，2070*28=57960-60000=-2040,2070,印度,总人数是2070（11月+12月）,2070.0,
土耳其张总股票粉/土耳其单导,6262.1,138.0,45.37753623188406,19500.0,65.0,8970.0,-10530.0,付了600个，截止12/4有效508,138,土耳其,,,
印度21期,80109.753864,4737.0,16.91149543,125726.0,27.0,127899.0,2173.0,"(旺仔3030+芬达2405)*27-20期结余25,726-21期总打款100,000=21019，消耗和进群人数也是11月的，没有12月的",11月是4737,印度,加上12月的一共是5435,5435.0,698.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1149911.958,56859.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
印度21期,,,,,,,,,,,,,
印度二元期权,,,,,,,,,,,,,
印度20期,,,,,,,,,,,,,
