项目,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12
印度22期,219538.65,10459,20.99040539,300000,28.0,292852.0,0.0,7148.0,有效粉 4646+5813=10459，300000-292852=7148（转23期),,已结清,80461.35
凯旋城印度8期,69039.64,3516,19.63584755,17104,27.0,94932.0,0.0,0.0,6期余款77828(转印度8期)，有效人数：3516，77828-3516*27=-17104，尾款已补,,已结清,-51935.64
印度21期,21810.93,1513,14.41568407,21019,27.0,40851.0,0.0,0.0,"(旺仔3030+芬达2405)*27-20期结余25,726-21期总打款100,000=21,019，尾款已补",11月和12月都有上广告,已结清,-791.93
印度海哥,38497.98,968,39.7706405,26232,28.0,27104.0,0.0,,11月总打款60000，12月0,"总消耗是$38,497.98，总打款是6W",,-12265.98
印度天叶二期,10728.8,621,17.27665056,0,28.0,0.0,3396.0,,天叶印度2期总打款是183000，有效6657，应付款186396-总打款183000=应收未付 3396,11月总打款183000，12月打款0,未结款,-10728.8
土耳其张总股票粉,23898,820,29.14390244,53300,65.0,53300.0,0.0,0.0,已退：58500-53300=5200,,已结清,29402
德国粉12/9,13915.3,91,152.9153846,8370,135.0,12285.0,3915.0,0.0,29*135=3915已付,,已结清,-5545.3
印度天叶三期,134265.5,5730,23.43202443,196604,30.0,171900.0,0.0,24704.0,打款20W-天叶二期未付3396,,已结清,62338.5
印度凯旋城7期,？,1592,#VALUE!,50000,28.0,44576.0,0.0,5424.0,人数待甲方确认，包含无效的,,已结束，没核算,#VALUE!
印度期权单导,1685.77,303,5.56359736,0,6.600660066,0.0,2000.0,,期权进粉308 有效303，实际收2000,,已结束，没核算,-1685.77
意大利蟑螂哥,728.33,11,66.21181818,1210,110.0,1210.0,0.0,0.0,已结清,,已结清,481.67
印度23期,83360.87,？,,100000,,,,,22期余款300000-292852=7148（转23期）,,,16639.13
印度金山（12/23）/印度10期孟德,165818.68,10600,15.6432717,200000,28.0,296800.0,96800.0,,10600*28=296800,,未结款,34181.32
