地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13
日本,渠道106-本土fb🇯🇵,无,30750,205,150,66060,180,36900,0,29160,"10/28  有效32
10/29  有效44
10/30  有效45
10/31  有效44
11/1 有效111
11/2 有效94

合计有效 370个

渠道106-本土fb🇯🇵10-11月
总转款： $95,760 
总有效： 370 个
单价：$180 
应付合计： $66,600
核算预付结余： $29,160",12/11 已退,
马来,B哥/马来英语粉,无,22828.76,396,57.64838384,60000,100/140,39960,0,20040,B哥/马来英语粉总转款60000，FB总有效387个，谷歌总有效9个，60000-387*100-9*140=20040,,
德国,德国单粉—summer FB180,无,45187.17,357,126.5747059,83000,180/190,66530,0,16470,"德国单粉—summer FB180总转款 83,000，FB总有效130个，TK总有效227个，83000-130*180-227*190=16470，已退",11/26 已退,
瑞典,瑞典1梯队蟑螂哥渠道,无,11056.3,38,290.9552632,3420,90,3420,0,0,亏,,
印度,新K4/B哥,无,1016.54,0,#DIV/0!,1173.97,打消耗,1016.54,0,0,"总消耗：$1020.84
服务费15%: $153.13
金额：1020.84+153.13=$1173.97",,
印尼,印尼2期,https://docs.google.com/spreadsheets/d/1-enIC50ejg2-yfHzFgefXYLJaJjdK8HCl-0CfgO55uY/edit?gid=0#gid=0,6643.71,156,42.58788462,7000,打消耗,7000,0,0,,11/27 已结算,
印尼,印尼一期,无,370.29,0,#DIV/0!,0,打消耗,0,0,0,,,
印度,印度资金测试,https://docs.google.com/spreadsheets/d/1lRmVSNE0Kx_UgYUW1lJ3-TtRpudO2bEzv_vo0483nRo/edit?gid=0#gid=0,3003.43,121,24.82173554,0,未定,-,-,-,,,
尼日利亚,BC尼日利亚,无,4277.75,0,#DIV/0!,10000,打消耗,5768.9,0,0,已退4231.1,,
美国,海总-新加坡、加拿大、美国（美国）,无,154.64,3,51.54666667,300,100,300,0,0,,,
加拿大,海总-新加坡、加拿大（加拿大）,无,6881.67,34,202.4020588,3400,100,3400,0,0,,,
新加坡,海总-新加坡、加拿大（新加坡）,无,968.34,16,60.52125,1840,115,1840,0,0,,,
韩国,A1韩国维权粉测试 服务费10%,无,$173.45,0,#VALUE!,0,11月没打,0,0,0,,,
,,,,,,,,,,,"申报30,000广告费 ，TPcJKnP3ZggQJaPRtTHQUeGKb4hPaG63ZW，地址不变，转了麻烦发下截图",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,核对总有效都让WXR去弄，再发账单,,
11/3 暂停,渠道106-本土fb🇯🇵,205,180,66060,29160,162,渠道106-本土fb🇯🇵,剩余广告费,29160,12/11 已退,,,
,B哥/马来英语粉,129,100,33355,20455,204.55,B哥/马来英语粉,剩余广告费,20455,,,,
,德国单粉—summer FB180,227,190,59600,16470,86.68421053,德国单粉—summer FB180,剩余广告费,16470,,,,
11/3 开始,瑞典1梯队蟑螂哥渠道,38,90,3420,0,,瑞典1梯队蟑螂哥渠道,剩余广告费,0,,,,
,海总-新加坡、加拿大,49,100,8000,3100,31,海总-新加坡、加拿大,剩余广告费,3100,,,,
,海总-美国,3,115,2300,1955,17,,合计,69185,,,,
,,,,,,,,,,,,,
马来英语粉,11/1  有效15,15,瑞典1梯队蟑螂哥渠道,11/5 有效4,4,,,,,,,,
,11/2  有效14,14,,11/7 有效18,18,,,,,,,,
,11/3 有效10,10,,11/9  736群有效2,2,,渠道106-本土fb🇯🇵,11/1 有效111,111,,,,
,11/4 有效6,6,,11/11  730群有效8,8,,,11/2 有效94,94,日本 FB人设,剩余广告费,10760,
,11/5 有效5,5,,11/12  218群 有效2,2,,,,,渠道BF 德国F,剩余广告费,4320,11/6已退
,11/6 有效16,16,,11/14 216群有效3,3,,,,,,,,
,11/7 有效23,23,,11/17  有效1,1,,,,,,合计,15080,
,11/9 有效13,13,,,,,,,,,,,
,11/10 有效11,11,,,,,,,,,,,
,11/21 有效6,6,,,,,,,,,,,
,11/23 有效3,3,,,,,,,,海总-新加坡、加拿大,11.11加拿大有效1,1,
,11/24 有效7,7,,,,,,,,,11/12 新加坡有效1,1,
,,,,,,,,,,,11.21加拿大Tk有效2个,2,
,,,德国单粉—summer FB180,11/15 有效6 （TK单价190）,6,已结算97个,11/16-11/21,ZZY（德国单粉—summer FB180）结算48个，周结算,,,11.25加拿大有效3个,3,
,,,,11/16有效6 （TK单价190）,6,,,,,,11/26 新加坡有效3,3,
,,,,11/17有效13（TK单价190）,13,,,,,,11/26  加拿大TK 有效9,9,
,,,,11/18 有效22,22,,,,,,11.27加拿大有效6个,6,
,,,,11/19有效21,21,,,,,,11.28新加坡有效2个,2,
,,,,11/20 有效29,29,,,,,,11.28加拿大有效6个,6,
,,,,11/21有效13,13,已结算51个,,,,,11.29新加坡有效9个,9,
,,,,11/22有效 11,11,,,,,,11/30 加拿大有效6个,6,
,,,,11/23有效27,27,,,,,,11.30新加坡有效1个,1,
,,,,11/25 有效53,53,已结算53个,,,,,,,
,,,,11/25 有效26,26,已结算26个,,,,美国115,11.26美国有效4×0.85=3个,3,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,预付申报,,,
,,,,,,,,,,,,,
,,,,,,,,,,日期：12.1,,,
,,,申报,,,,,,,用途：海总-新加坡、加拿大、美国,,,
,,,,,,,,,,单价：新加坡、加拿大100,,,
,,,日期：11.25,,,,,,,预付：新加坡、加拿大40个,,,
,,,用途：印尼2期（B哥）,,,,,,,金额：100*40=4000,,,
,,,结款：7000,,,,,,,地址：TPcJKnP3ZggQJaPRtTHQUeGKb4hPaG63ZW,,,
,,,地址：TPcJKnP3ZggQJaPRtTHQUeGKb4hPaG63ZW,,,,,,,,,,
,,,,,,,,,,地址防盗验证：,,,
,,,地址防盗验证：,,,,,,,抬头TPcJK,,,
,,,抬头TPcJK,,,,,,,中段PRtTHQ,,,
,,,中段PRtTHQ,,,,,,,尾号G63ZW,,,
,,,尾号G63ZW,,,,,,,转了麻烦发下截图,,,
,,,转了麻烦发下截图,,,,,,,,,,
