2025年1月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2025年1月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,,,渠道商,已减去手续费的充值,SG总消耗,当天剩余广告费,日期,
深圳芳林子@SHEN 户,335165.98,,,335165.98,,34595.36,300570.62,,账单户广告费,4932.77,669.46,4263.31,2025-02-01 00:00:00,
GT&Shen (井号户）,85880,,,85880,,9880,76000,别的渠道转入20000,启航广告费,55285.7069,13723.53,16562.1769,2025-02-01 00:00:00,已退25000
GT的GD欧洲美金户,0,,,0,,120,,,GT的GD欧洲美金户,-120,35.38,-155.38,2025-02-01 00:00:00,
凤凰&洛阳&白户14,230196,,,230196,,31780,198416,,GT美国,22266.0811,0,22266.0811,2025-02-01 00:00:00,
江小南＃字户10+1,1110,1000,,110,,110,0,,GT欧洲,8025.934524,0,8025.934524,2025-02-01 00:00:00,
开户美国三不限户-Daisy,11550,,,11550,未退,550,11000,,GT&Shen (井号户）,152000,65767.71,86232.29,2025-02-01 00:00:00,
越南三不限-线条-泰华,2180,1803,,2180,,180,2000,,凤凰&洛阳&白户14,250163.31,209582.4,40580.91,2025-02-01 00:00:00,
kk户（史塔克）913,3510,2967,,543,,510,33,,深圳芳林子@SHEN 户,309350.43,296075,13275.43,2025-02-01 00:00:00,
🌹Y/量多多&YF FB合作群-（海登）,1650,1500,,150,,150,0,,开户美国三不限户-Daisy,11000,6801.54,4198.46,2025-02-01 00:00:00,未退
Alex 法国TMI户&11+1 麦芽-西柚,610.55,,,610.55,,110.55,500,,越南三不限-线条-泰华,$196.43,196.43,0,2025-02-01 00:00:00,
印度企业户 欧洲美金户下户,2320,,,2320,,320,2000,,kk户（史塔克）913,33,0,33,2025-02-01 00:00:00,
CH加白户14➕1,24418.2932,,,24418.2932,,3280.29,21138.0032,,🌹Y/量多多&YF FB合作群-（海登）,0,0,0,2025-02-01 00:00:00,
Fb 白户-长夏,110000,,,110000,,8463.33,101536.67,,Fb 白户-长夏,101536.67,87375.66,14161.01,2025-02-01 00:00:00,
GT&Shen 美金低消户 12%u1,0,,,0,,1745.7648,,,GT&Shen 美金低消户 12%u1,-1745.7648,0,-1745.7648,2025-02-01 00:00:00,
,,,,803123.8232,,,713194.2932,,Alex 法国TMI户&11+1 麦芽-西柚,500,0,500,2025-02-01 00:00:00,未退
,,,,,,,701688.36,,印度企业户 欧洲美金户下户,2000,0,2000,2025-02-01 00:00:00,
,,,,,,,11505.9332,,CH加白户14➕1,21138.0032,16888.28,4249.7232,2025-02-01 00:00:00,
,,,,,,,,,,,,,,
,总转款,已退款,未退款,最终款,备注,手续费,,,,,,214447.1809,,
广告配套,5219.03,,,5219.03,,,,,,,,,,
后勤支出,244956.44,,,244956.44,,,,,,,,,,
,,,,250175.47,,,,,,,,,,
,,,,,,,,,,待清零金额,,,,
