项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,剩余,备注,Unnamed: 10,1月内部投手进群,1月总进群
印度23期,https://docs.google.com/spreadsheets/d/1vQCjWRGSFHl90xFASvjDCfIb-5hC7m9OFpAnrx-Dqxc/edit?gid=1294975865#gid=1294975865,303849.72,14818.0,20.50544743,407148.0,28.0,-7756.0,0,"总进粉14818*28=414,904，已付400,000+22期余款转23期7,148-414,904=-7,756",已结清,7322.0,4314.0
印度23期补群,https://docs.google.com/spreadsheets/d/1vQCjWRGSFHl90xFASvjDCfIb-5hC7m9OFpAnrx-Dqxc/edit?gid=1294975865#gid=1294975865,95582.08,4153.0,23.01518902,100000.0,28.0,-16284.0,0,"印度23期补群：
总打款100,000 
有效人数：4153
需补欠款100,000-4153*28=-16284",已结清,,4153.0
印度22期,https://docs.google.com/spreadsheets/d/1oXypguDPZ03yG7MR8NezibTw2U-Twp9LG0WE3H_6O4M/edit?gid=1294975865#gid=1294975865,49773.78,1977.0,25.17641882,100000.0,28.0,44644.0,"$44,644.00",1月打款100000，100000-1977*28= 剩余44644（转24期）,已结清,1670.0,1977.0
意大利（蟑螂哥）,,？,565.0,,67800.0,120.0,0.0,0,总有效是565，代投2个团队，同时2个甲方，1月已经结清,1月已经结清,,
印度24期,https://docs.google.com/spreadsheets/d/1f5qT2x9Q_U6IB_KYskTitFuddRIpWcSV5GO61Tuu4PI/edit?usp=sharing,289638.79,12038.0,24.06037465,344644.0,28.0,0.0,7580,"22期剩余44644（转24期）。22期剩余44644（转24期）+24期总打款300,000-12038*28=7580（剩余）",2/20已核对,9539.0,12038.0
德国股粉对接群,,？,80.0,？,10800.0,135.0,0.0,0,1月已经结清,1/23后未开始,,
L1印度,https://docs.google.com/spreadsheets/d/153Bz-YZO1tnM3Q7C1FCDnyBCbs8jL68Hm97hrxvnkY4/edit?usp=sharingg,101471.68,5365.0,18.91364026,50000.0,28.0,-100220.0,0,总打款50000-5365*28=-100220,已结清,3244.0,5365.0
凯旋门7期,https://docs.google.com/spreadsheets/d/1xQYQah3K8QcWTSu7c91TqMTwDNKq22ETrJsIrhS-LCQ/edit?gid=1467506896#gid=1467506896,33978.84,1227.0,27.69261614,50000.0,28.0,0.0,15644,凯旋门7期总转款50000，50000-（567+660）*28=15644（余款）,3/17已退余款15644,,
意大利（2000）,https://docs.google.com/spreadsheets/d/1_huwLKHTnW6Li5y1mOdshkLhCWj_8Hkun5b1ZfsKvWo/edit,,690.6,,100000.0,120.0,0.0,17128,"代投2个团队，同时2个甲方，1月总有效是690.6*120=82872，1月剩余$17,128.00",未结束，2月继续,,
K10期,https://docs.google.com/spreadsheets/d/1mvbt4aJ-YiEfcchXjsXRYD0SkPVk20SNUxGsLpa5Li8/edit?usp=sharing,280330.65,13192.0,21.25004927,300000.0,28.0,-69376.0,0,总打款300000-13192*28=-69376,已结清,9929.0,13192.0
印度25期（印度1期）,https://docs.google.com/spreadsheets/d/1ih2m5qOC8ORmjNjSar5tzTf7XhpdIuHC-7EyP79mQsQ/edit?usp=sharing,136006.97,5982.0,22.73603644,200000.0,28.0,0.0,32504,1月还有1个群有效未填,未结束，2月继续,1918.0,5982.0
印度9期,https://docs.google.com/spreadsheets/d/1mOM-1xIk7kkMN-4qY3VGLJZspxdNS0QEqspQZ7LLIKk/edit?usp=sharing,74318.18,3263.0,22.77602819,100000.0,28.0,8636.0,0,,未结束，2月继续,1846.0,3263.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,35468.0,50284.0
