2025年2月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2025年2月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,渠道商,已减去手续费的充值,总消耗,当天剩余广告费,日期,
凤凰&洛阳&白户14,128630.34,,,128630.34,,15028.26,账单户广告费,0,0,0,2025-03-01 00:00:00,
深圳芳林子@SHEN 户,133660.51,,,133660.51,,14322.01,启航广告费,23601.7269,23824.34,-222.6131,2025-03-01 00:00:00,
CH加白户14➕1,4741.041,,,4741.041,2月已退款3978,576.04,GT&Shen (井号户）,18147.1,1330.64,0,2025-03-01 00:00:00,3月已退
Fb 白户-长夏,709.94,,,709.94,,3506.48,凤凰&洛阳&白户14,154182.99,130275.64,23907.35,2025-03-01 00:00:00,
Y-5208 FB欧/美户-Ivan（HX）,560,,,560,,60,深圳芳林子@SHEN 户,132613.93,114220.46,18393.47,2025-03-01 00:00:00,
印度企业户 欧洲美金户下户,54490,,,54490,,4830,Fb 白户-长夏,13202.55,13202.55,0,2025-03-01 00:00:00,
泰华-启航渠道,9807.13,,,9807.13,,4767.58,CH加白户14➕1,8414.7242,2477.72,5937.0042,2025-03-01 00:00:00,
海总-全球户,565.6,,,565.6,,65.5,Y-5208 FB欧/美户-Ivan（HX）,500,14.18,485.82,2025-03-01 00:00:00,3月已退
桃子熊充值,201.2,,,201.2,,3.21,海总-全球户,500.1,158.26,341.84,2025-03-01 00:00:00,3月已退
十月二不限——（泰华）,21,,,21,,21,印度企业户 欧洲美金户下户,49660,39337.75,10322.25,2025-03-01 00:00:00,
海总- BM户对接,50,,,50,,50,,,,,,
,,,,,,,,,,,,
Alex 法国TMI户&11+1 麦芽-西柚,500,500,,0,已退款500,,,,,,,
,,,,333436.761,,,,,,59165.1211,不包含等退款到账,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,待清零金额,可用备用金,,,
,总转款,已退款,未退款,最终款,备注,手续费,启航广告费,0,0,,,
U支出的广告配套（不含RMB支出）,4318.23,,,4318.23,,,凤凰&洛阳&白户14,984.99,33042,,,
后勤支出,389212.2389,,,389212.2389,,,Y-5208 FB欧/美户-Ivan（HX）,485.82,0,,,
,,,,393530.4689,,,海总-全球户,341.84,0,,,
,,,,,,,,,,,,
2月意大利代投,总转款,进群数,未退款,最终款,备注,地区,,1812.65,33042,,,
意大利-（岳总）,56300,558.99,,56300,已退款401,意大利,,,,,,
意大利打群-fa,27000,300,,27000,,意大利,,,,,,
意大利🇮🇹——海月,6100,61,,6100,,意大利,,,,,,
浩天 意大利对接群,5000,1,,5000,已退款4900,意大利,,,,,,
西班牙70A-xingxing,2100,7,,2100,已退款1610,西班牙,,等退款到账,,,,
西班牙/春兰/70A,2100,13,,2100,已退款1190,西班牙,GF&SHEN美国户 开10u 10%+u1,984.03,待清零后退,,,
,,,,98600,,,GT&Shen 欧洲美金低消户 12%u1,2516.22,等2月的度账单出才退,,,
