地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,内部代投,Unnamed: 14,外部代投,副本链接,Unnamed: 17,Unnamed: 18
印度,印度1期（印度25期）,https://docs.google.com/spreadsheets/d/1ih2m5qOC8ORmjNjSar5tzTf7XhpdIuHC-7EyP79mQsQ/edit?usp=sharing,,10867,,300000,28,304276,4276.0,0,"印度1期总打款300,000-总有效10867*28=-4,276，2/7已结束",2/7已结清,2645,"F-7Mirae Asset Sharekhan group
C-7Mirae Asset Sharekhan group补群，不计入",2352,https://docs.google.com/spreadsheets/d/10a3F1sf3OYKYh6tR8zjVw6moPJDuA-CiE_cWcdiIY5U/edit?gid=1294975865#gid=1294975865,4401.0,
意大利,意大利（2000）,https://docs.google.com/spreadsheets/d/1_huwLKHTnW6Li5y1mOdshkLhCWj_8Hkun5b1ZfsKvWo/edit,,1194.4,,150000,120,143328,0.0,6672,2/6已结束，意大利（2000）总打款150000-1194.4*120=6672（转印度2期）,已结清,0,代投结算有效1211.06，扣了16.66，代投垫付1286,512,https://docs.google.com/spreadsheets/d/1_iQk89Zh729Y05jNzANgMnRUGXHc7BgdLRI_mRP4LyM/edit?gid=1294975865#gid=1294975865,,
印度,印度9期,https://docs.google.com/spreadsheets/d/1mOM-1xIk7kkMN-4qY3VGLJZspxdNS0QEqspQZ7LLIKk/edit?usp=sharing,,16530,,400000,28,462840,-62840.0,0,2/9已结束，印度9期总打款400000-总有效16530*28=-62840,2/11已结清,6097.11,,5431.89,https://docs.google.com/spreadsheets/d/1JSZCNgHgCA4mQKspofBv3YV84AraNpA_5X9ZFR6VH7I/edit?gid=1294975865#gid=1294975865,11529.0,
印度,印度2期,https://docs.google.com/spreadsheets/d/11PihhiOlLKeHesxeLPedMzj9BT_LFIkCmA6xmfopCaE/edit?usp=sharing,,7183,,206672,28,,,,6672,3月继续,5353.54,,2459.46,https://docs.google.com/spreadsheets/d/1OfuJhIUXTI3yvWvFsVdGFc1NgOkcbnpgs16Yk0R8au0/edit?gid=1294975865#gid=1294975865,7813.0,还有2个群合打的，内部投手366
西班牙,（蟑螂哥）西班牙,,,20,,,,,,,,2/10已结算,,,,无表格，群已解除,,
印度,印度11期,https://docs.google.com/spreadsheets/d/1FgLYx5Jrw2iRF66o3B7eG1yui1zNSZY6qLv7bi8ZW88/edit?usp=sharing,,2143,,0,28,60004,0.0,0,"994+1149=2143*28=$60,004，2/16结束",2/23已结清,1948,,195,,2143.0,
巴西,巴西测试粉,,,72,,,,,,,打消耗，服务费15%，1440.92*1.15= 1657.06,3/1已结清,-,,-,单导,72.0,
印度,印度（10）印度金山2/22,https://docs.google.com/spreadsheets/d/1h1lfgNZg18wBv1HrrhosKb0dEqi4eh--zZC7x-ztvQc/edit?usp=sharing,,4055,,100000,,,,,,3月继续,2390.64,,1664.36,https://docs.google.com/spreadsheets/d/1cspCL0ixwSTl5XWmK_WvGapKSpU-zI0PxAIIYzMy1xo/edit?gid=1294975865#gid=1294975865,4055.0,
印度,印度FB-天叶,https://docs.google.com/spreadsheets/d/1LLEOZFui555r0M_vY8fCHU7qWo_xMu7EkiuS6aSky4M/edit?usp=sharing,,917,,50000,,,,,,3月继续,407,,510,https://docs.google.com/spreadsheets/d/1wgPdQFusFN4TX3Ceh-otA2D7Lu_5SlW9YZfNX0HG87Y/edit?gid=1294975865#gid=1294975865,917.0,
意大利,意大利张总单导,,,73,,,,,,,,3月继续,0,,73,无链接,73.0,
意大利,意大利第三梯队608（蟑螂哥）,,,229,,,,,,,,,,,,,,
意大利,意大利蟑螂哥2月,,,76,,,,,,,,已结清,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,,,,,,,,
,印度2期,7620,28,206672,-6688,,印度2期,剩余广告费,-6688.0,按有效算,,,,,,,,
,印度（10）金山,4879,28,100000,-36612,,印度（10）金山,剩余广告费,-36612.0,按进群算,,,,,,,,
