2025年3月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2025年3月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,扣手续费后的充值,渠道商,已减去手续费的充值,总消耗,当天剩余广告费,日期,
启航广告费,21044.15,,,21044.15,,3492.25,17551.9,账单户广告费,1885.08,1031.91,853.17,2025-04-01 00:00:00,
CH加白户14➕1,10554.1,,,10554.1,,1551.1,9003,启航广告费,17329.2869,18410.87,-1081.5831,2025-04-01 00:00:00,
印度企业户 欧洲美金户下户,19684,,,19684,,2254,17430,凤凰&洛阳&白户14,4141.98,4141.98,0,2025-04-01 00:00:00,3/24已退31733.7
十月二不限——（泰华）,1457,,,1457,,1003,454,深圳芳林子@SHEN 户,205929.24,178774.07,27155.17,2025-04-01 00:00:00,
深圳芳林子@SHEN 户,198077,,,198077,,20541.23,177535.77,CH加白户14➕1,3510.78,3510.78,0,2025-04-01 00:00:00,
海总- BM户对接,200,,,200,,200,0,印度企业户 欧洲美金户下户,26224.4,20975.86,5248.54,2025-04-01 00:00:00,
账单户充值,1722.35,,,1722.35,,27.16,1695.19,Y-5208 FB欧/美户,9520.703,3574.61,5946.093,2025-04-01 00:00:00,
Y-5208 FB欧/美户,10377.563,,,10377.563,,856.86,9520.703,GT&SHEN 欧 2%+u1,3868.45,956.4,2912.05,2025-04-01 00:00:00,
GTHY&papa 二不限 10+2+1,10,,,10,,10,0,欧洲三不限-泰华3➕1（0.84）,1278.75,900.67,378.08,2025-04-01 00:00:00,
GT&SHEN 欧 2%+u1,1635.86,,,1635.86,,103.39,1532.47,哪吒-FB企业海外户,1200,100.44,1099.56,2025-04-01 00:00:00,断联
欧洲三不限-泰华3➕1（0.84）,1329.9,,,1329.9,,51.15,1278.75,十月二不限——（泰华）,328.38,328.38,0,2025-04-01 00:00:00,
哪吒-FB企业海外户,1734,,,1734,,534,1200,济宁韦宁&香港有意思,300,0,300,2025-04-01 00:00:00,
海总-全球户,270,,,270,,270,0,凤凰渠道2-泰华,500,0,500,2025-04-01 00:00:00,
Chris Ryan MYM美金户&麦芽-西柚,100,,,100,,100,0,,,,,,
海总-越南电信户,200,,,200,,200,0,,,,,,
济宁韦宁&香港有意思,480,,,480,,180,300,,,,44392.663,,
凤凰渠道2-泰华,680,,,680,,180,500,,,,,,
海总-黑泽-欧洲户对接,90,,,90,,90,0,,,,,,
,,,,269645.923,,消耗表的手续费：34265,238001.783,,,,,,
,,,,,,消耗表的消耗：231804.72,231804.72,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,总转款,已退款,未退款,最终款,备注,手续费,,,,,,,
U支出的广告配套（不含RMB支出）,3258.6167,,,3258.6167,,,,,,,,,
后勤支出,263202.5244,,,263202.5244,,,,,,,,,
技术学习费,1288,,,1288,,,,,,,,,
项目退款：印度FB天叶（2/24）,26976,,,26976,,,,,,,,,
