地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12
德国,德国股票粉二组【张小强】,无,46500.0,465.0,100,62775.0,135,62775.0,0.0,0,,3/21已暂停
德国,渠道B 德国A,工单,2400.0,68.0,35.29411765,6250.0,75,5100.0,,4月继续,,
,,,,,,,,,,,,
法国,法国张总群粉,无,1345.24,0.0,#DIV/0!,0.0,,,,,亏,
韩国,韩国刷单粉对接,无,1526.25,92.0,16.58967391,2138.39,打消耗的15%,2138.39,0.0,0,反馈的数据很差，进群92，回复4个,3/19已结算
,,,,,,,,,,,,
马来,F2渠道 英文J,无,2128.8,68.0,31.30588235,7500.0,75,5100.0,0.0,2400,总预付100-总有效（7+23+25+13）=32*75=2400（3/26已退）,3/26暂停
,,,,,,,,,,,,
日本,日股粉（张总）,无,65.71,0.0,#DIV/0!,,,,,,,
,,,,,,,,,,,,
意大利,意大利渠道4梯队蟑螂哥,无,1400.0,14.0,100,1680.0,120,1680.0,0.0,0,,未开始
意大利,意大利张总单导,无,9100.0,91.0,100,10920.0,120,10920.0,0.0,0,,3/14已结束
意大利,意大利二期打粉3/24开始,https://docs.google.com/spreadsheets/d/1_editwT3IbaA99kYURNJFI4RkjTD_QgAaNJNunyY01k/edit?gid=0#gid=0,11712.86,98.0,119.5189796,50000.0,120,11760.0,0.0,4月继续,,4月继续
,,,,,,,,,,,,
印度,印度2期(3/22之前的),https://docs.google.com/spreadsheets/d/11PihhiOlLKeHesxeLPedMzj9BT_LFIkCmA6xmfopCaE/edit?usp=sharing,202900.696,8557.6,23.71,307580.0,28,239612.8,0.0,67967.2,印度2期总打款300000，24期余款7580（转印度2期），300000+7580-9008*0.95*28= 67967.2（转印度3期）,3/6已结清
印度,印度（10）金山,https://docs.google.com/spreadsheets/d/1h1lfgNZg18wBv1HrrhosKb0dEqi4eh--zZC7x-ztvQc/edit?usp=sharing,270178.82,11641.0,23.20924491,300000.0,28,-25948.0,-25948.0,0,3/4晚结束，已付300000-总有效11641*28=25948（应收）,3/6已结清
印度,印度天叶（2/24）,https://docs.google.com/spreadsheets/d/1LLEOZFui555r0M_vY8fCHU7qWo_xMu7EkiuS6aSky4M/edit?usp=sharing,63758.41,2608.0,24.4472431,100000.0,28,73024.0,0.0,26976,"总打款100,000-有效2608*28=26,976（3/10已退）",
印度,印度3期,https://docs.google.com/spreadsheets/d/1ghU3l_CH4w5WPDUr7OIIIrYMah_67k1isuAEz-1dW64/edit?gid=0#gid=0,54709.27,3009.0,18.1818777,124639.2,28,84252.0,0.0,40387.2,意大利（2000）6672（转印度3期），印度2期67967.2（转印度3期），印度3期总打款$50000，意大利（2000）$6672（转印度3期），印度2期$67967.2（转印度3期），50000+6672+67967.2-3009*28=,3/23已核对，余款转印度2期（新3/23）
印度,印度（10）金山3/17开始,https://docs.google.com/spreadsheets/d/1h1lfgNZg18wBv1HrrhosKb0dEqi4eh--zZC7x-ztvQc/edit?usp=sharing,207458.9,9900.0,20.95544444,250000.0,28,277200.0,27200.0,0,印度（10）总转款250000，总有效9900，250000-9900*28= -27200,3/28已结清
印度,印度2期3/23开始的,https://docs.google.com/spreadsheets/d/11PihhiOlLKeHesxeLPedMzj9BT_LFIkCmA6xmfopCaE/edit?gid=1294975865#gid=1294975865,41388.43,1751.0,23.63702456,49028.8,28,49028.0,0.0,0,印度3期剩余的广告费40387.2转印度2期，总有效1751，40387.2-1751*28= -8640.8,3/26已结清
印度,印度L2期,https://docs.google.com/spreadsheets/d/1HP7Xzi31aCjVnkYy8rfacJlXQuPMFJtzN4rt0ry8LAk/edit?usp=drivesdk,51807.44,2442.0,21.2151679,100000.0,28,68376.0,0.0,4月继续,,
印度,印度14期,https://docs.google.com/spreadsheets/d/1yJAjU28Eg95YSlYKsjEJptA7uJRHDD_0-T2Eoa8gULs/edit,32141.87,1300.0,24.72451538,70000.0,28,36400.0,0.0,4月继续,,
印度,印度4期,https://docs.google.com/spreadsheets/d/1AwD2mLpw9CIng9D59-zD6CTUb5p5_UbVD7kYfhZtI6U/edit?usp=drivesdk,97558.73,3900.0,25.01505897,150000.0,28,109200.0,0.0,4月继续,,
印度,印度13期,https://docs.google.com/spreadsheets/d/1O-Yc-LqBT3_94NokJar07j0GuLMZje2AHt8BL7Xb__c/edit?gid=0#gid=0,9697.69,399.0,24.30498747,11172.0,28,11172.0,0.0,0,28*399=11172,4/1已结算
,,,,,,,,,,,,
英国,蟑螂哥-英国股票,无,2387.03,0.0,#DIV/0!,415.0,,,,,亏,
英国,英国粉测试fb,https://docs.google.com/spreadsheets/d/1QJBO1lJjIUsl8nVC6898Jlpjz0GpKagHhIvot57WraY/edit?gid=0#gid=0,0.0,0.0,#DIV/0!,0.0,,,,,,
