2025年6月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2025年6月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,扣手续费后的充值,渠道商,已减去手续费的充值,总消耗,当天剩余广告费,日期
深圳芳林子,314138.5700000001,,,314138.57,,44450.09,269688.48,深圳芳林子,309819.97,280480.61,29339.36,2025-07-01 00:00:00
海总-MC开户对接群（果果）,6711.280000000001,,,6711.28,,66.45,6644.83,海总-MC开户对接群（果果）,8827.2,6285.63,2541.57,2025-07-01 00:00:00
十月二不限——（泰华）,13192.75,,,13192.75,,317.75,12875,十月二不限——（泰华）,13969.99,13590.99,379,2025-07-01 00:00:00
印度企业户 欧洲美金户,4743.13,,,4743.13,,616.43,4126.7,印度企业户 欧洲美金户,4126.7,2443.26,1683.44,2025-07-01 00:00:00
凤凰渠道-泰华,3896.76,,,3896.76,,1270,2626.76,凤凰渠道-泰华,4065.67,1406.31,2659.36,2025-07-01 00:00:00
泰华&ME-FB海外户对接群,3603.2,,,3603.2,,690,2913.2,泰华&ME-FB海外户对接群,3851.2,1317,2534.2,2025-07-01 00:00:00
黑泽-欧洲户对接,2505.8,,,2505.8,,321.1,2184.7,黑泽-欧洲户对接,6316.36,4122.04,2194.32,2025-07-01 00:00:00
开户美国三不限户,1170,,,1170,,170,1000,开户美国三不限户,1000,151.63,848.37,2025-07-01 00:00:00
济宁韦宁&香港有意思 二不限 3%,520,,,520,,20,500,济宁韦宁&香港有意思 二不限 3%,500,290.26,209.74,2025-07-01 00:00:00
海总新渠道 10+1,1110,,,1110,,110,1000,,,,42389.36,
,,,,351591.49,,消耗表的手续费：42682.11,48031.82,,,,,
,,,,,,消耗表的消耗：311228.61,支出表统计的消耗： 303559.67,,,,,
,,,,,,,消耗表的消耗：311228.61,,,,,
,,,,,,,差值：311228.61-303559.67=7669.01,,,,,
,总转款,已退款,未退款,最终款,备注,手续费,,桃子熊失联,560.5,,,
U支出的广告配套（不含RMB支出）,2479.45,,,2479.45,,,,,,,,
后勤支出,462600.0926,,,462600.0926,,,,,,,,
,,,,465079.5426,,,,,,,,
,,,,,,,,,,,,
其他代投,总转款,进群数,已退款,最终款,备注,地区,,,,,,
ALEX&西班牙,1275,,,1275,,,,,,,,
,,,,,,,,,,,,
,,,,1275,,,,,,,,
,,,,,,,,,,,,
德国代投,总转款,进群数,已退款,最终款,备注,地区,,,,,,
老傅渠道,6630,,,6630,,,,,,,,
,,,,,,,,,,,,
,,,,6630,,,,,,,,
,,,,,,,,,,,,
印度代投,总转款,进群数,,最终款,备注,地区,,,,,,
印度006对接—henry,2400,,,2400,,,,,,,,
,,,,,,,,,,,,
,,,,2400,,,,,,,,
,,,,,,,,,,,,
,,,,,更新日期：,2025-07-01 00:00:00,,,,,,
,,,,,,,,,,,,
,,,,826976.0326,,,,,,,,
2025年6月甲方总收入,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
地区,项目,总转款,备注,,,,,,,,,
印度,白马2期,97636,,,,,,,,,,
德国,德国 张总（王总）,2700,,,,,,,,,,
印度,拉总（印度）24,114504,,,,,,,,,,
印度,白马3期,166292,,,,,,,,,,
德国,渠道BF 德国B,6500,,,,,,,,,,
奥地利,海哥-奥地利,3870,,,,,,,,,,
印度,印度十期,50000,,,,,,,,,,
印度,印度11期,100000,,,,,,,,,,
西班牙,蟑螂哥西班牙渠道（3梯队）,100,,,,,,,,,,
德国,德国股票粉（2）组【张小强】,13549.5,,,,,,,,,,
西班牙,ALEX&西班牙,1700,,,,,,,,,,
德国,德国蟑螂哥渠道,8700,,,,,,,,,,
代理商退款,GT海总欧洲金融户20+9+1,424,,,,,,,,,,
代理商退款,GT-HY&papa 二不限,1360,,,,,,,,,,
代投退款,老傅渠道,2200,,,,,,,,,,
,5月结余,396123,,,,,,,,,,
,,965658.5,,,,,,,,,,
