地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
印度,印度12期,https://docs.google.com/spreadsheets/d/1Fcm-BZ7BGlkTUVqAhheLJ8juzLshtBFkDJ8dyZdGeCQ/edit?usp=drivesdk,34781.84,2639,13.17993179,109376,28,73892,0,35484,"印度11期余款9,376，印度12期总转款100,000，有效2639，9376+100000-28*2639=35,484，转13期",7/8 已核对,,
印度,印度13期,https://docs.google.com/spreadsheets/d/1-KWUKXNRdbc740feBfj5I9lSKNle5ZXKr_Pekz6uieY/edit?usp=drivesdk,54814.88,2755,19.89650817,85484,28,77140,0,8344,"印度12期余款35,484，印度13期总转款50,000，35,484+50,000-2755*28=8344",7/12 已核对,,
印度,印度14期7/14开始,https://docs.google.com/spreadsheets/d/1PScgFZG2Zpef63xgvmibjPEwLu65KAL7TWeHsSeMRGs/edit?gid=0#gid=0,35330.85,1963,17.99839531,58344,28,54964,0,3380,"印度13期余款8,344，印度14期总转款50,000，总有效1963，8344+50000-1963*28=3380",7/22 已核对,,
印度,印度15期7/23开始,https://docs.google.com/spreadsheets/d/11I3jbCoOWI4pnXYAb29GBxEBUcSYImDsJ4wOhl6-Zqg/edit?usp=drivesdk,88876.06,4736,18.76605997,103380,28,,,,"印度14期余款3380，印度15期总转款50,000，总有效4736，3380+100,000-4736*28= -29228",7/29已结算,,
印度,波贝3期,https://docs.google.com/spreadsheets/d/1izLEwzbK3CTT_F93haA3T2TJrJNTlX-Q_LbWYHZDhfg/edit?gid=0#gid=0,42726.45,3066,13.93556751,100000,28,85848,0,14152,波贝3期总转款100000，总有效3066，100000-3066*28=14152，已退14152,7/6 已核对,,
印度,印度汤总,https://docs.google.com/spreadsheets/d/1pPHuCADr9Md13AeckcatthLhY-ll542Jnr0shYryj88/edit?gid=0#gid=00,55342.41,3946,14.02493918,110488,28,110488,0,0,印度汤总总转款98000，截至目前3946，98000-3946*28=-12488,7/4 已结算,,
印度,印度20期,https://docs.google.com/spreadsheets/d/1jmQDdznzijNA83MAsLJRe4sZ2thZdQVEUOvFuYwfZaI/edit?gid=0#gid=0,52234.48,3045,17.15418062,100800,28,85260,0,15540,"印度20期总转款100,800，总有效3045，100,800-3045*28=15,540，已退15540",7/13 已结清,,
印度,印度21期,https://docs.google.com/spreadsheets/d/1-mLDLikgBPtwkKDTtLOGvQsB0LtSfxQiFMKIBo8Z774/edit?usp=drivesdk,25275.9,1677,15.07209302,50000,28,46956,0,3044,印度21期总转款50000，总有效1677，50000-1677*28=3044，转22期,7/20已核对,,
印度,印度22期 7/14,https://docs.google.com/spreadsheets/d/1UD8Uz6-KChjNQWZ0G0A1Tlc63epHUW4kJRId1TL5B5U/edit?gid=0#gid=0,25140.71,1939,12.96581227,30000,28,54292,-24292,0,印度21期余款3044转，21期7/20转错了群3044，印度22期总转款30000，总有效1939，3044*2+30000-1939*28=-18204,7/20已结清,,
印度,印度24期 7/20,https://docs.google.com/spreadsheets/d/1tYS2igUKrBe6oyKqOzhyyAUJAbF5cY7xjt0ifEimaCg/edit?gid=0#gid=0,56536.6,2293,24.65617096,100000,28,64204,0,35796,"印度24期总转款100,000，总有效2293，100000-2293*28=35,796，转波贝5期",7/25已核对,,
印度,印度25期 7/28,https://docs.google.com/spreadsheets/d/12nr3j7XoX-dHiPGy9XL7cpewSBsny2qn3c1nC0LVoho/edit?usp=drivesdk,45064.59,2597,17.3525568,80000,28,,,,8月继续,,,
印度,波贝4期,https://docs.google.com/spreadsheets/d/1akWG43pRxF2VtIOtEXHROp-U-E65OxELqkqIucz-B_U/edit?gid=0#gid=0,87074.2,5024,17.33164809,150000,28,140672,0,9328,"波贝4期总转款150,000，总有效5024，150,000-5024*28=9328",7/17已退,,
印度,波贝5期,https://docs.google.com/spreadsheets/d/11BKQa_ERmJqmGDJGkcYO6bLrZKv8Bw1nqb8Agsk5bag/edit?usp=drivesdk,20010,1060,18.87735849,35796,28,29680,6116,0,"印度24期结余35,796，波贝5期总有效1060，35,796-1060*28=6116已退",7/25 已结清,,
德国,德国股票粉（2）组【张小强】,无,36689.83,564.31,65.01715369,90289.6,160,90289.6,0,0,8月继续1组,,,
德国,德国蟑螂哥渠道,无,10780.09,114,94.56219298,18240,160,18240,0,0,,暂停,,
德国,德国（海哥）7/24开始,无,3068.91,44.25,69.35389831,7080,160,7080,0,0,,暂停,,
意大利,意大利3期,https://docs.google.com/spreadsheets/d/1kd_-E-8GBpatDp9ZVlqcN7hk0f76fOBZdzT85ZMoKGE/edit?gid=0#gid=0,13106.84,252,52.01126984,80000,120,30240,0,49760,8月继续,,,
印度,B1印度,https://docs.google.com/spreadsheets/d/1gO27b_tOKxf1U2ekq55JZHhY3PqzmZgYskeTf7SoLdg/edit?gid=0#gid=0,34610.23,1687,20.51584469,50000,28,47236,0,2764,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,,,,
,印度25期,2729,28,80000,3588,,印度25期,剩余广告费,3588,,,,,
,波贝6期,0,28,0,0,,波贝6期,剩余广告费,0,,,,,
,B1印度,1795,28,50000,-260,,B1印度,剩余广告费,-260,,,,,
,意大利3期,394,120,80000,32720,,意大利3期,剩余广告费,32720,,,,,
,拉总（印度）24,1545.25,24,36384,-702,,拉总（印度）24,剩余广告费,0,,,,,
,德国股票粉（3）组【张小强】,8,160,1280,0,,德国股票粉（3）组【张小强】,未结,0,个,,,,
,德国（海哥）,29.25,160,4800,120,,德国（海哥）,剩余广告费,0,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
