2025年8月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2025年8月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,扣手续费后的充值,,渠道商,已减去手续费的充值,总消耗,当天剩余广告费,日期
深圳芳林子,570.65,,,570.65,8月退款19982.64,530.65,40,,深圳芳林子,14103.1,10485,3618.1,2025-09-01 00:00:00
印度企业户 欧洲美金户,10544.560000000001,,,10544.56,,879.55,9665.01,,印度企业户 欧洲美金户,7651.82,5873.59,1778.23,2025-09-01 00:00:00
凤凰渠道-泰华1,48872.049999999996,,,48872.05,,6426.79,42445.26,待退,🌹R|泰华&云峰合作群美金企业户12+1,1989.91,61.11,1928.8,2025-09-01 00:00:00
凤凰渠道-泰华2,0,,,0,,0,0,,GT&SHEN 欧洲户８＋１ 港60+5+1,11553.312,10988.05,565.262,2025-09-01 00:00:00
Vcc-102524 服务费1（泰华）,202,,,202,,2,200,,印度户印尼企业户-GoodTimes,27922.74,28951.45,0,2025-09-01 00:00:00
🌹R|泰华&云峰合作群美金企业户12+1,2262.4,,,2262.4,,272.49,1989.91,,Y-5208 FB欧/美户,5880,4269.91,1610.09,2025-09-01 00:00:00
GT&SHEN 欧洲户８＋１ 港60+5+1,13287.51,,,13287.51,,1734.198,11553.312,待退,启航广告费,3508.08,1120.41,2387.67,2025-09-01 00:00:00
印度户印尼企业户,29569.46,,,29569.46,GoodTimes,1798.39,27771.07,,十月二不限——（泰华）,25.69,0,25.69,2025-09-01 00:00:00
Y-5208 FB欧/美户,5075,,,5075,,695,4380,,欧洲户10➕1-Nancy,1500,966.71,533.29,2025-09-01 00:00:00
印尼企业户,1150,,,1150,已退,0,1150,,志诚三不限,9959.71,10018.56,0,2025-09-01 00:00:00
客户服务群-L0816,3129,,,3129,,1029,2100,,客户服务群-L0816,2100,1398.97,701.03,2025-09-01 00:00:00
志诚三不限,11710.949999999999,,,11710.95,,1751.24,9959.71,,,,,,
黑泽,60,,,60,只有开户费,60,0,,,,,,
欧洲户10➕1-Nancy,1665,,,1665,,165,1500,,,,,13148.162,
海总新渠道,1080,,,1080,已退1080,80,1000,,,,,,
路人互动,779.89,,,779.89,,174.49,605.4,,,,,,
,,,,129958.47,,消耗表的手续费：13513.24,"支出表统计的手续费：$15,598.80",,,,,,
,,,,,,消耗表的消耗：113735.66,"支出表统计的消耗：$114,359.67",,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,总转款,已退款,未退款,最终款,备注,手续费,,,,,,,
U支出的广告配套（不含RMB支出）,7033.375,,,7033.375,,,,,,,,,
后勤支出,417091.9437,,,417091.9437,,,,,消耗表的手续费：13513.24,,,,
B1印度,24064,,,24064,,,,,消耗表的消耗：113735.66,,,,
印度23期,12060,,,12060,,,,,,,,,
,,,,,,,,,"支出表统计的手续费：$15,598.80",15598.8,,,
