项目,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,Unnamed: 8,Unnamed: 9
阿光5期,408455.87,27626.0,14.78519764,410000.0,20.0,552520.0,142520.0,,-1544.13
阿特,243982.66,16324.0,14.94625459,167000.0,20.0,326480.0,159480.0,,76982.66
金鑫阿海,43419.16,2909.0,14.92580268,77500.0,25.0,77500.0,0.0,34080.84,-34080.84
阿光4期,328131.35,22365.0,14.67164543,450000.0,21.0,469665.0,19665.0,,-121868.65
阿亦印度,154036.32,12617.0,12.2086328,90000.0,17.0,214489.0,124489.0,,64036.32
4月总计 打粉81841 广告消耗  1178025$ 平均单粉成本 14.39$ 共收款 1194500$ ,,,,,,,,,0.0
,,,,,,,,,
,,,,,,,,,141018.98
,,,,,,,,,
,,,,,,,,,
广告配套,14386.922,,,,,,428547.8,462628.64,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,1194500.0,1640654.0,,,
