项目,消耗,进粉,单粉成本,打款,单粉价格,应收,Unnamed: 10
阿光-印度六期,298541.27,22775.0,$13.11,300000.0,18.0,409950.0,
阿光-印度7期,417536.96,34366.0,12.148817829255284,550000.0,16.08,552605.28,
金鑫海哥-5月,53685.83,4481.0,11.980769316218305,100000.0,,100000.0,
印度（郭总1期）,122652.22,9874.0,12.421735376223065,253000.0,,253000.0,
印度（郭总2期）,132888.19,10066.0,13.201687462786797,191751.0,,191751.0,
印度（维权粉1期）,8438.080441949785,704.0,11.985909718678672,19999.0,,19999.0,
英国（精粉5/20）,12062.611332877648,315.0,38.29400423135761,10000.0,,10000.0,
澳大利亚测试,88565.28539698018,817.0,108.40304210156692,85000.0,,85000.0,
欧美精聊,328.23,74.0,4.435540540540541,1300.0,,1300.0,
印度（800粉5/27）-FB 股票-马腾飞,5110.990000000001,891.0,5.736240179573514,20000.0,,20000.0,
印度（六亿）,86955.12187150074,10437.0,8.33142875074262,100000.0,,100000.0,
叶凡16800,33663.25497709182,3239.0,10.393101258750177,50000.0,,50000.0,
印度一期(否知10000),11758.161320809608,803.0,14.64279118407174,0.0,,0.0,
"6月总计 打粉98842 广告消耗 $1,272,186.21； 平均单粉成本 $12.83  共收款 $1,681,051",,,,,,,1793605.28
,,,,,,,
,,,,,,,
,1272186.205,98842.0,,1681050.0,,1793605.28,
