项目,消耗,进粉,单粉成本,已收,单粉价格,应收,未收,Unnamed: 9,Unnamed: 10,Unnamed: 11
叶凡16800,222753.62,15709.0,14.18,175000.0,19.18,301298.62,126298.62,,,
印度（六亿）,540307.43,35711.0,15.13,425000.0,20.13,718862.43,293862.43,,,
印度度假村（发财组14000),207289.6,15680.0,13.22,180000.0,18.22,285689.6,105689.6,,,
"6月总计 打粉67100；广告消耗$970,350.65；应付款$1,305,850.65；总已付$780,000.00；未付款$525,850.65",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,970350.65,67100.0,,780000.0,,1305850.65,525850.65,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,"印度度假村（叶凡16800)：15709*19.18=301298.62，已打款175,000.00，尾款126298.62",126298.62
,,,,,,,,,"印度度假村（六亿)：35711*20.13=718862.43，已打款425,000.00，尾款293,862.43",293862.43
,,,,,,,,,"印度度假村（发财组14000)：15680*18.22，已打款180,000.00，尾款105,689.60",105689.6
,,,,,,,,,印度凯旋城阿荣：9540*27=257580，已打款120000，尾款137580,137580.0
,,,,,,,,,星宇土耳其：2926*60=175560，已打款50000，尾款125560,125560.0
,,,,,,,,,,788990.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,6月,"印度度假村（叶凡16800)：15709*19.18=301298.62，已打款175,000.00，尾款126298.62",
,,,,,,,,,"印度度假村（六亿)：35711*20.13=718862.43，已打款425,000.00，尾款293,862.43",
,,,,,,,,,"印度度假村（发财组14000)：15680*18.22，已打款180,000.00，尾款105,689.60",
,,,,,,,,,印度凯旋城阿荣：9540*27=257580，已打款120000，尾款137580,
,,,,,,,,,星宇土耳其：2926*60=175560，已打款50000，尾款125560,
,,,,,,,,,,
,,,,,,,,7月,印度9期（20000）：19355.28，已结清,
,,,,,,,,,,
,,,,,,,,8月,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,9月,"土耳期凯旋城：2926*60=175560，已打款50,000.00，尾款125,560.00",
,,,,,,,,,"印度凯旋城一期阿荣：9540*27=257580，已打款120,000.00，尾款137,580.00",
,,,,,,,,,"印度凯旋城二期：14687*27=396549，已打款95,000.00，尾款301,549.00",
