项目,消耗,进粉,单粉成本,打款,单粉价格,应收,未收
印度（六亿）,540446.15,35711.0,15.13388452,425000,20.13,718862.43,293862.43
叶凡16800,222822.39,15709.0,14.18437775,175000,19.18,301298.62,126298.62
金鑫印度8期(16000),306569.24,21014.0,14.58880937,400000,18.5,388759,0.0
澳大利亚测试,26340.61,197.0,133.71,25000,,25000,0.0
印度（维权粉1期）,3168.39,423.0,7.49,0,,0,0.0
印度代理一期(否知6/4|5000),19427.49,1340.0,14.498124614179106,"$23,870.00",,"$23,870.00",0.0
印度（锅大侠3万）,152050.36,10338.0,14.71,230000,,230000,0.0
印度一期(否知10000),107086.29,7272.0,$14.73,80000,,80000,0.0
英国（精粉5/20）,13499.61,252.0,53.57,20000,,20000,0.0
印度度假村（发财组14000),207253.73,15680.0,13.21771237,180000,18.22,285689.6,105689.6
印度金鑫海哥（6/19）,71056.12,5602.0,12.78,124195,,124195,0.0
印度10期（20000）,332387.29,22666.0,14.66457646,380000,18.5,419321,39321.0
"6月总计 打粉136204；广告消耗$2,002,107.67；平均单粉成本$14.70；共收款$2,039,195.00",,,,,,,
,,,,,,,
,,,,,,,
,2002107.67,136204.0,14.69933093,2039195,,2593125.65,565171.65
