项目,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,FA人数,FA消耗,单粉,Unnamed: 13,应收.1,未收.1,Unnamed: 16,Unnamed: 17
印度9期（20000）,328891.092110983,20767.0,15.837198059950063,413429,19.84,412017.28,0.0,,,20.84,印度9期（20000）,432784.28,19355.28,已经结清,
钱总群,4413.2459466,81.0,54.484517859259256,8000,,8000.0,0.0,31.0,2852.0,,钱总群,0.0,,,
土耳其测试（单导）,7353.4932248,59.0,124.63547838644067,5000,,8456.517209,3456.517209,,,,土耳其测试（单导）,8456.49,3456.49,,
美国股粉1USA（西港）,197746.739725,2016.0,98.08866057787698,217000,,227408.7507,10408.75068,670.0,61640.0,,美国股粉1USA（西港）,227408.74,10408.751,,和8月的消耗进群合并了
美国股粉1USA（金边）,113139.41470881924,1140.0,99.24510062177126,104000,,130110.3269,26110.32692,212.0,19504.0,,美国股粉1USA（金边）,16970.9115,6570.9115,,
印度11期,221843.57687290822,14472.0,15.329158158713945,293781.6,20.3,293781.6,0.0,,,20.33,印度11期,250180.98,40880.98,,
澳大利亚测试（FA）,2647.0,1.0,80.0,"$2,647.00",,,0.0,,,,澳大利亚测试（FA）,3044.05,397.05,,
"7月总计 打粉38536 广告消耗 $876,034.56  共收款$1,041,210.60 应收 1079774$",,,,,,,39975.59481,,,,,,,,
,,,,,,,,,,,,,81069.4625,,
,,,,,,,,,,,,,,,
,876034.5626,38536.0,,1041210.6,,,,,,,,,,,
