8月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
地区,代投,总转款,已退款,未退款,最终款,备注,
印度代投,shen-🇮🇳对接群,83919,5024,,78895,,
印度代投,SW 印度 表单＋落地页40+前10城市,8500,0,2924,8500,172*17=2924，没退,
印度代投,印度本土财经-测试,14000,0,,14000,,
印度代投,印度打群（南山）,3600,0,,3600,,
美国代投,shen-美丽🇺🇸对接群,4800,0,,4800,,
美国代投,Fa代投广告费-美国,14048,0,,14048,,
美国代投,美国单导 小黄鸡,4500,1530,,2970,,
美国代投,谷歌代投-谷歌测粉HT土耳其，Chris Ryan,16000,13056,,2944,,
土耳其代投,Fa代投广告费-土耳其,138735,0,,138735,,
土耳其代投,L ynn  fb 土耳其,27300,6132,,21168,,
土耳其代投,土耳其蛋蛋小黄鸡,3800,3306,,494,,
土耳其代投,HUI&HT_土耳其FB对接,10400,0,,10400,,
,远程佣金,4008.91,0,,4008.91,,
,,,,,304562.91,,
,,,,,,,
,,,,,,,
,,,,,,,
,渠道商,总转款,已退款,未退款,最终款,手续费,备注
,凤凰&洛阳,1070120,,,1070120,170859.5,
,谷歌新主体户15+6,524,,,524,,
,江小南虚拟卡广告费,65110,6106.91,,59003.09,,
,账单户广告费桃子熊,42604.71,,,42604.71,684,
,深圳芳fb广告费充值,53522.93,23416.75,2562.2,30106.18,,2562.2在9/9号已退
,wade 美国户6+1,8351.98,5389.01,,2962.97,,
,wade- 海外户对接nancy,33201.2,,13430,33201.2,,"$13,430.00在9/1号已退"
,启航广告费,103669.99,,,103669.99,,
,GT&Wshen欧洲户+3服务费,1030,1030,,0,,
,广告配套,12649.29,,,12649.29,,
,,,,,1354841.43,,
,,,,,,,
,,,,,,,
8月甲方总收入,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
地区,项目,总转款,备注,,,,
印度,印度11期'（20000）,84481.6,,,,收入-支出=,-12882.74
印度,印度12期打粉（20000）,350000,,,,,
美国,美盘打粉对接群（钱总群）8月,5400,,,,,
土耳其,土耳其打粉群1,270000,,,,,
印度,印度粉 FB 孟德,236640,,,,,
印度,印度粉 FB 李修缘,100000,,,,,
美国,金边 美国 谷歌单导,20000,,,,,
印度,13期上粉（20000),300000,,,,,
印度,天叶印度引流8/22,150000,,,,,
土耳其,土耳期（金边）,30000,,,,,
印度,印度14期,100000,,,,,
,,1646521.6,,,,,
