项目,消耗,进粉,单粉成本,打款,单粉价格,差值,备注
印度11期,39397.18,2166.0,18.18891043,84481.6,27.0,45084.42,
印度12期,236196.050254,13840.0,17.06618860216763,350000.0,27.0,113803.9497,
美国股票粉（2）西港,219839.07,2272.0,96.76015405,217000.0,,-2839.07,7月和8月合并
美国股粉钱总（8/5）,7601.71,123.0,61.802520325203254,5400.0,,-2201.71,
天叶印度粉8/20,61680.0689345,3543.0,17.408994901072536,150000.0,,88319.93107,9月存在消耗
美国单导,7697.38,88.0,87.47022727,20000.0,,12302.62,
土耳其金边8/26,95342.467775597,1870.0,50.98527688534599,30000.0,60.0,-65342.46778,8月打款3W，9月打款2W，共5W
印度李修缘8/26,61313.2349937,3931.0,15.597363264741796,100000.0,,38686.76501,8月打款10W，9月打款5W，共15W
印度孟德8/11,167215.74335968,9970.0,16.77189000598596,236640.0,,69424.25664,
印度13期,320446.8,16148.0,19.84436463,300000.0,27.0,-20446.8,
印度14期,61252.519299,4039.0,15.16526845729141,100000.0,27.0,38747.4807,
土耳其测试（群8/5）/土耳其打粉群1,248028.59076073003,6327.0,39.20161067816185,270000.0,60.0,21971.40924,9月存在消耗
"8月总计 打粉64317；广告消耗$1,526,010.82；共收款$1,863,521.60",,,,,,,
,,,,,,,
,,,,,,,
消耗统计金额,1526010.815,64317.0,,1863521.6,,,
,,,,,,,
,,,,,,,
转款统计金额,1597620.16,,,,,,
