9月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,9月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,扣去手续费,,渠道商,当天剩余广告费,日期,时间
凤凰&洛阳&15+1（1200）&8+1（60）,1882214.57,,,1882214.57,9/14解封费1500+开户费2000；9/5，3000的账户解封费和2000的开户费,290740,1591474.57,1509068.25,凤凰&洛阳,82406.32,2024-10-01 00:00:00,00:00:00
账单户广告费,41506.79,,,41506.79,,622.79,40884,,账单户广告费,1544.8,2024-10-01 00:00:00,00:00:00
启航广告费,104251.42,,,104251.42,开户费，3个ke户，充了4K,3750,100501.42,93121.14,启航广告费,7380.28,2024-10-01 00:00:00,00:00:00
户对接-Nancy,1110,896.11,,213.89,开户费 50，充值 1000*1.06=1060,110,103.89,,印度 金融，测户Old K,1990.76,2024-10-01 00:00:00,00:00:00
印度 金融，测户Old K,2280,,,2280,开户费：＄100；充值费用：＄2000；手续费：180,280,2000,,济宁韦宁&香港有意思 二不限 3%,3776.71,2024-10-01 00:00:00,00:00:00
FF139-KE户-对接,1100,1100,,0,,,0,,,97098.87,,
BM户对接点一点,66,,,66,买户费66,,,,,,,
FF139&星辰-欧元户5%,2100,,,2100,2000*1.05=2100U,100,2000,,,,,
BM户测试,450,,,450,,,450,,,,,
广告配套,4760.6,,,4760.6,,,,,,,,
,,,,2037843.27,640476.67,295602.79,1737413.88,,,,,
,,,,848716.26,,,,781686.43,,,,
,,,,,,,,,,,,
代投,总转款,已退款,未退款,最终款,备注,地区,,,,,,
推特代投,7480,5695,,1785,66.11111111,印度代投,,,,,,
土耳其的代投,2000,,,2000,33.33333333,,,,,,,
fafa土耳其代投,9680,,,9680,161.3333333,,,,,,,
印度粉测试-~K in,5250,,,5250,250,,,,,,,
印度粉测试-~K in,10290,,,10290,490,10/7结款,,,,,,
,,,,,,,,,,,,
,,,,29005,,,,,,,,
,,,,,,,,,,,,
,,,,,更新日期：,2024-10-01 00:00:00,,,,,,
,,,,2066848.27,,,,,,,,
9月甲方总收入,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,印度代投,194.44444444444446,,,,,
,,,,,,推特代投,66.11111111111111,,,,,
,,,,,,土耳其的代投,33.333333333333336,,,,,
地区,项目,总转款,备注,,,fafa土耳其代投,161.33333333333334,,,,,
wade 美国户6+1退款,wade 美国户6+1,1198.6,,,,,,,,,,
海外户对接nancy退款,wade- 海外户对接nancy退款,13430,,,,,,,,,,
深圳芳林子退款,退款，深圳芳林子,2562.2,,,,,,,,,,
退款，FF139-KE户-对接,FF139-KE户-对接,1100,,,,,,,,,,
退款，户对接-Nancy,户对接-Nancy,896.11,,收入-支出=,,88159.64,,,token剩余广告费,103740.42,,
印度,13期上粉（20000),42233,,,,,,,,,,
印度,印度14期,200000,,,,,,,,,,
印度,印度15期,400000,,,,,,,,,,
印度,印度粉 FB 李修缘,88636,,,,,,,,,,
