项目,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,差值,备注,Unnamed: 10,Unnamed: 12,Unnamed: 13
土耳其测试（群8/5）/土耳其打粉群1,343707.5468,8021.0,42.85095958,468660.0,60.0,481260.0,12600.0,,合并，消耗8月+9月；打款8月+9月,已结,,
天叶印度粉8/20,144173.8966,7022.0,20.5317426,200000.0,27.0,189594.0,-10406.0,55826.10343,合并，消耗8月+9月；打款8月+9月,,,
土耳其金边8/26，土耳期 凯旋城,181003.5875,2926.0,61.8604195,50000.0,60.0,175560.0,125560.0,-131003.5875,合并，消耗8月+9月；打款8月+9月,3315，群确认人数是2926,,
土耳其西港2期,220131.0696472,5506.0,49.52330025808774,350000.0,60.0,330360.0,-19640.0,129868.9304,,,,
印度14期,211243.0461,10920.0,19.34460129,300000.0,27.0,294840.0,-5160.0,88756.9539,合并，消耗8月+9月；打款8月+9月，其中14期广告费剩余$16132转到15期,,,
印度15期,194399.61108033708,9298.0,20.90768026245828,416132.0,27.0,251046.0,-165086.0,221732.3889,其中14期广告费剩余$16132转到15期，15转16期174860,,,
印度16期,2863.1461963,171.0,16.74354500760234,0.0,27.0,4617.0,4617.0,-2863.146196,15转16期174860，174860-67704=107156转17期,,,
印度1期,309397.307699,13433.0,23.03262917434676,323298.0,27.0,362691.0,39393.0,13900.6923,合并，打款9月+10月,,,
印度海哥,63289.704281800005,2447.0,25.864202812341645,71176.0,27.0,66069.0,-5107.0,7886.295718,"印度海哥退款：$38,024.00",,,
印度凯旋城一期阿荣,242767.5540519524,9540.0,23.726305126265874,120000.0,27.0,257580.0,137580.0,-122767.5541,10232，群确认人数是9540,,,
印度凯旋城二期,355432.35513830004,14687.0,21.266819549949144,95000.0,27.0,396549.0,301549.0,-260432.3551,16713，群确认人数是14687,,,
印度凯旋城三期,170690.52,9237.0,18.48,329526.0,27.0,249399.0,-80127.0,158835.48,合并，打款9月+10月,,,
印度李修缘8/26,123694.904,6683.0,18.50888882,188636.0,27.0,180441.0,-8195.0,64941.09604,合并，消耗8月+9月；打款8月+9月,,,
"9月总计 打粉77914；广告消耗$1,955,433.76；共收款$1,863,521.60",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2562794.249,99891.0,,2912428.0,,3240006.0,621299.0,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,土耳期 凯旋城,122566.0
,,,,,,,,,,,印度凯旋城一期阿荣,137580.0
,,,,,,,,,,,印度凯旋城二期,301549.0
,,,,,,,,,,,印度凯旋城三期,
