月份,上个月结余渠道广告费,上个月结余的钱包广告费,应收款,实收款,人员工资,充值广告费,后勤费,代投佣金,远程佣金,广告配套,结余广告费,渠道商退款,渠道商跑路,欠款,净利润,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2024-04-01,,,1640654.0,"$1,194,500.00",24929.56,1178025.37,15889.63139,,8574.0,7448.922,,,,,405786.5166,409644.0,53404.0,356240.0,0.0,53404.0
2024-05-01,,,1618081.0,1793605.2799999998,36511.91,1436898.73,44215.97,,14436.07,13791.12,,,,,262187.54999999993,,,,,
2024-06-01,,,2593125.65,2039195,49639.53,2002107.67,10927.94,,15994.44,29931.5,,,,,484524.57,,,,,
2024-07-01,,,1079774.0,1041210.6,30283.57,876034.5626,43773.47,,4489.48,24050.6,,,,,101142.3174,,,,,
2024-08-01,74969.82,,1863521.6,1863521.6,43096.67,1342192.14,33534.48,300554,4008.91,12649.29,89379.57,,,18916.2,38106.54,,,,,
2024-09-01,89379.57,,2112927.05,2097797,97812.83,2008057.33,44550.54,0,0.0,4760.6,97098.87000000001,,,"$17,465.82",47125.32,,,,,
2024-10-01,97098.87,72340.42,858996.0,971213,57699.72,850414.96,25857.62,"$10,290.00",0.0,3501.71,176670.82,47236.64,33025.0,0,115906.16,,,,,
2024-11-01,175705.97,95595.76,1549589.0,1512090.42,73442.14,1172991.77,37590.03,16297,0.0,6289.18,135459.37,25427.42,14844.97,0,411606.88,,,,,
,,,,,,,,,,,,,,,,,,,,
2024-12-01,123039.39,287216.88,,1182001,56900.57,1000768.89,18906.88,23782,0.0,3905.72,137489.03,1548.0,0.0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,64835.3,-30164.7,,,,,,,,,,,,,
