日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-11-01 00:00:00,马来西亚,JK,CapitalV-113  2029509857819090,美金户,凤凰&洛阳,423.33,237.55,,20.4358,185.78,206.2158,
2025-11-01 00:00:00,马来西亚,XH,CapitalV-78  1348876219989402,美金户,凤凰&洛阳,4653.17,4631.94,,2.3353,21.23,23.5653,
2025-11-01 00:00:00,马来西亚,YK,GZTX-TH-santai-2  4057465311236935,二不限,二不限企业户服务费2%+0.5%,1005.62,741.3,,6.608,264.32,270.928,
2025-11-01 00:00:00,马来西亚,YK,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,55.3969375,,,4.431755,55.3969375,59.8286925,
2025-11-01 00:00:00,马来西亚,LM,Eastar 4 - ADA -1997  1142670713919397,美金户,GT&SHEN 欧洲户8+1,9.86,,,0.8874,9.86,10.7474,
2025-11-01 00:00:00,马来西亚,LM,CapitalV-239 1898483751099126,美金户,凤凰&洛阳,44.77,,,4.9247,44.77,49.6947,
2025-11-01 00:00:00,马来西亚,LM,KMCP-TH-erwan-5  1874361699813798,二不限,二不限企业户服务费2%+0.5%,0.04,,,0.001,0.04,0.041,
2025-11-01 00:00:00,尼日利亚,FKZ,01 1  1556948215485152,美金户,内部自用,271.12,6.02,,0.0,265.1,265.1,
2025-11-01 00:00:00,尼日利亚,FKZ,01 2  2040394593448446,美金户,内部自用,275.37,0.5,,0.0,274.87,274.87,
2025-11-01 00:00:00,尼日利亚,FKZ,01 3  1679504480120740,美金户,内部自用,737.71,392.5,,0.0,345.21,345.21,
2025-11-01 00:00:00,尼日利亚,FKZ,01 4  1213050317353296,美金户,内部自用,102.08,,,0.0,102.08,102.08,
2025-11-02 00:00:00,马来西亚,YK,GZTX-TH-santai-2  4057465311236935,二不限,二不限企业户服务费2%+0.5%,1338.55,1005.62,,8.32325,332.93,341.25325,
2025-11-02 00:00:00,马来西亚,LM,CapitalV-239 1898483751099126,美金户,凤凰&洛阳,143.63,44.77,,10.8746,98.86,109.7346,
2025-11-03 00:00:00,印度,XH,CapitalV-526  946881977643479,美金户,凤凰&洛阳,,667.36,历史消耗,,,,
2025-11-02 00:00:00,尼日利亚,FKZ,01 1  1556948215485152,美金户,内部自用,319.7,271.12,,0.0,48.58,48.58,
2025-11-02 00:00:00,尼日利亚,FKZ,01 2  2040394593448446,美金户,内部自用,569.79,275.37,,0.0,294.42,294.42,
2025-11-02 00:00:00,尼日利亚,FKZ,01 3  1679504480120740,美金户,内部自用,933.24,737.71,,0.0,195.53,195.53,
2025-11-02 00:00:00,尼日利亚,FKZ,01 4  1213050317353296,美金户,内部自用,258.12,102.08,,0.0,156.04,156.04,
2025-11-02 00:00:00,尼日利亚,FKZ,01 5  824826453257742,美金户,内部自用,240.26,,,0.0,240.26,240.26,
2025-11-03 00:00:00,尼日利亚,FKZ,01 1  1556948215485152,美金户,内部自用,319.7,319.7,,0.0,0.0,0.0,
2025-11-03 00:00:00,尼日利亚,FKZ,01 2  2040394593448446,美金户,内部自用,651.77,569.79,,0.0,81.98,81.98,
2025-11-03 00:00:00,尼日利亚,FKZ,01 3  1679504480120740,美金户,内部自用,962.29,933.24,,0.0,29.05,29.05,
2025-11-03 00:00:00,尼日利亚,FKZ,01 4  1213050317353296,美金户,内部自用,347.81,258.12,,0.0,89.69,89.69,
2025-11-03 00:00:00,尼日利亚,FKZ,01 5  824826453257742,美金户,内部自用,379.19,240.26,,0.0,138.93,138.93,
2025-11-03 00:00:00,印度,FD,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,47.7035625,,,3.816285,47.7035625,51.5198475,
2025-11-03 00:00:00,印度,LD,CapitalV-03  736854286185255,美金户,凤凰&洛阳,14806.69,14804.47,,0.2442,2.22,2.4642,
2025-11-03 00:00:00,印度,LD,Tencent IS Pte.Ltd +8 -050  905176548823872,美金户,B哥-fb三不限10➕1,10.69,,,1.1759,10.69,11.8659,
2025-11-03 00:00:00,马来西亚,LM,CapitalV-239 1898483751099126,美金户,凤凰&洛阳,513.15,143.63,,40.6472,369.52,410.1672,
2025-11-03 00:00:00,马来西亚,XH,CapitalV-78  1348876219989402,美金户,凤凰&洛阳,4662.89,4653.17,,1.0692,9.72,10.7892,
2025-11-03 00:00:00,马来西亚,JK,CapitalV-113  2029509857819090,美金户,凤凰&洛阳,433.0,423.33,,1.0637,9.67,10.7337,
2025-11-03 00:00:00,马来西亚,YK,GZTX-TH-santai-2  4057465311236935,二不限,二不限企业户服务费2%+0.5%,1697.9,1338.55,,8.98375,359.35,368.33375,
2025-11-03 00:00:00,瑞典,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,299.722,,,23.97776,299.722,323.69976,
2025-11-04 00:00:00,马来西亚,YK,BRG-USD-080802-806-(GMT-3)  1364981671914008,美金户,泰华&启航,,69.3,历史消耗,,,,
2025-11-04 00:00:00,马来西亚,YK,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,443.3180625,55.3969375,,31.03369,387.921125,418.954815,
2025-11-04 00:00:00,尼日利亚,FKZ,01 1  1556948215485152,美金户,内部自用,319.79,319.7,,0.0,0.09,0.09,
2025-11-04 00:00:00,尼日利亚,FKZ,01 2  2040394593448446,美金户,内部自用,800.0,651.77,,0.0,148.23,148.23,
2025-11-04 00:00:00,尼日利亚,FKZ,01 3  1679504480120740,美金户,内部自用,1072.73,962.29,,0.0,110.44,110.44,
2025-11-04 00:00:00,尼日利亚,FKZ,01 4  1213050317353296,美金户,内部自用,575.03,347.81,,0.0,227.22,227.22,
2025-11-04 00:00:00,尼日利亚,FKZ,01 5  824826453257742,美金户,内部自用,530.45,379.19,50,0.0,151.26,151.26,
2025-11-03 00:00:00,印度,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,375.573625,,,30.04589,375.573625,405.619515,
2025-11-04 00:00:00,印度,LD,Tencent IS Pte.Ltd +8 -050  905176548823872,美金户,B哥-fb三不限10➕1,30.08,10.69,,2.1329,19.39,21.5229,
