日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗"
2025-12-18,巴西,JK,GFDL-1/nlm-859646609650884    859646609650884,绑卡户,官方授权户,63.78,,,9.567,63.78,73.347
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2025-12-16,爱尔兰,LM,GFDL-2/nlm-1639627036983440   1639627036983440,绑卡户,官方授权户,15.87,,,2.3805,15.87,18.2505
2025-12-17,巴西,LM,GFDL-2/nlm-1639627036983440   1639627036983440,绑卡户,官方授权户,50.96,,,7.644,50.96,58.604
2025-12-18,巴西,LM,GFDL-2/nlm-1639627036983440   1639627036983440,绑卡户,官方授权户,116.36,50.96,,9.81,65.4,75.21
,,,,,,,,总计,19.8345,132.23,152.0645
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2025-12-16,新加坡,YK,GFDL-3/nlm-3701603103393246   3701603103393246,绑卡户,官方授权户,FB,196.73,,29.5095,196.73,226.2395
2025-12-17,新加坡,YK,GFDL-3/nlm-3701603103393246   3701603103393246,绑卡户,官方授权户,1169.16,196.73,,145.8645,972.43,1118.2945
2025-12-18,新加坡,YK,GFDL-3/nlm-3701603103393246   3701603103393246,绑卡户,官方授权户,2200.68,1169.16,,154.728,1031.52,1186.248
,,,,,,,,总计,330.102,2200.68,2530.782
,,,,,,,,,,,
,,,,,,,,,,,
,,,,投手消耗,代理,差,代理结算15%,消耗+手续费,,,
,12.16-12.18,JK,GFDL-1/nlm-859646609650884    859646609650884,63.78,45.6,18.18,6.84,52.44,,,
,,LM,GFDL-2/nlm-1639627036983440   1639627036983440,132.23000000000002,56.7,75.53,8.505,65.205,,,
,,YK,GFDL-3/nlm-3701603103393246   3701603103393246,2200.68,2073.23,127.45,310.9845,2384.2145,,,
,,,,,,,326.3295,,,,
