日期,地区,投手,账户名称/ID,账户种类,代理商,平台,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗"
2025-12-01,印度,HY,SONZDD-ADA+7-GX-324  1138647123633445,越南盾主题户,海总&志诚三不限,FB,13.54548,,,1.354548,13.54548,14.900028
2025-12-01,印度,LD,SHARK 003 MAX  1258285486025414,美金户,印度户印尼企业户,FB,2.14,,,0.1498,2.14,2.2898
2025-12-01,印度,LD,SONZDD-ADA+7-GX-292  968326027225876,越南盾主题户,海总&志诚三不限,FB,81.0914,16.4472,,6.46442,64.6442,71.10862
2025-12-01,印度,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,FB,1223.22,803.74,,46.56228,419.48,466.04228
2025-12-01,印度,LM,Bteam usd 871693  1165478492213765,绑卡户,深圳芳林子,FB,1.58,,,0.143464,1.58,1.723464
2025-12-01,印度,LM,NE-QH-ES0.EL-YQHD-08  24895271973433442,美金户,Y-5208 FB欧/美户,FB,23.09,7.35,,1.7314,15.74,17.4714
2025-12-01,印度,LM,SONZDD-ADA+7-GX-310  717171207680711,越南盾主题户,海总&志诚三不限,FB,6.22856,5.67724,,0.055132,0.55132,0.606452
2025-12-01,印度,YJ,PeakTime-489  2456962661335328,美金户,凤凰&洛阳,FB,15.95,,,1.7545,15.95,17.7045
2025-12-01,印度,YJ,SONZDD-ADA+7-GX-325  1588943154783624,越南盾主题户,海总&志诚三不限,FB,10.13204,,,1.013204,10.13204,11.145244
2025-12-01,新加坡,YK,Matepro-ADA+7-QQB-562  1568521534521890,印尼美金户,海总&志诚三不限,FB,92.91,28.93,,4.4786,63.98,68.4586
2025-12-01,新加坡,YK,SONZDD-ADA+7-GX-305  507209163950510,越南盾主题户,海总&志诚三不限,FB,39.07988,,,3.907988,39.07988,42.987868
2025-12-01,新加坡,JK,SONZDD-ADA+7-GX-290  1106153070147098,越南盾主题户,海总&志诚三不限,FB,256.87008,239.91308,,1.6957,16.957,18.6527
2025-12-02,印度,HY,SONZDD-ADA+7-GX- 333  666999407790336,越南盾主题户,海总&志诚三不限,FB,9.81248,,,0.981248,9.81248,10.793728
2025-12-02,印度,LD,SONZDD-ADA+7-GX-292  968326027225876,越南盾主题户,海总&志诚三不限,FB,167.44276,81.0914,,8.635136,86.35136,94.986496
2025-12-02,印度,LM,NE-QH-ES0.EL-YQHD-08  24895271973433442,美金户,Y-5208 FB欧/美户,FB,233.57,23.09,,23.1528,210.48,233.6328
2025-12-02,印度,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,FB,1498.44,1223.22,,30.54942,275.22,305.76942
2025-12-02,印度,YJ,Bteam usd 249935  849016160901172,绑卡户,深圳芳林子,FB,21.79,,,1.978532,21.79,23.768532
2025-12-02,印度,YJ,SONZDD-ADA+7-GX-325  1588943154783624,越南盾主题户,海总&志诚三不限,FB,20.4926,10.13204,,1.036056,10.36056,11.396616
2025-12-02,新加坡,JK,SONZDD-ADA+7-GX-290  1106153070147098,越南盾主题户,海总&志诚三不限,FB,265.80364,256.87008,,0.893356,8.93356,9.826916
2025-12-03,印度,YJ,SONZDD-ADA+7-GX- 335  1523432218043022,越南盾主题户,海总&志诚三不限,FB,,10.0,历史消耗,,,
2025-12-03,新加坡,YK,RED-YQ-030  818062180789978,越南美金户,Y-5208 FB欧/美户,FB,,599.62,历史消耗,,,
2025-12-03,印度,HY,Matepro-ADA+7-QQB-639  778848911663788,印尼美金户,海总&志诚三不限,FB,10.0,,,0.7,10.0,10.7
2025-12-03,印度,HY,SONZDD-ADA+7-GX- 333  666999407790336,越南盾主题户,海总&志诚三不限,FB,19.83116,9.81248,,1.001868,10.01868,11.020548
2025-12-03,印度,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,FB,1916.83,1498.44,,46.44129,418.39,464.83129
2025-12-03,印度,LM,NE-QH-ES0.EL-YQHD-08  24895271973433442,美金户,Y-5208 FB欧/美户,FB,725.01,233.57,,54.0584,491.44,545.4984
2025-12-03,印度,LD,SONZDD-ADA+7-GX-292  968326027225876,越南盾主题户,海总&志诚三不限,FB,412.92532,167.44276,,24.548256,245.48256,270.030816
2025-12-03,印度,LD,Matepro-ADA+7-QQB-611  777932511716933,印尼美金户,海总&志诚三不限,FB,8.25,,,0.5775,8.25,8.8275
2025-12-03,加拿大,LM,Matepro-ADA+7-QQB-612  1375811934061841,印尼美金户,海总&志诚三不限,FB,10.07,,,0.7049,10.07,10.7749
2025-12-03,加拿大,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,FB,92.98,,,10.32078,92.98,103.30078
