10月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 27
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"财务统计
STATISTICS",,10月收支明细 DETAIL,,,,,,,,,,,,,,,,
,,序号,日期,收入,,,,支出,,,,,,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,,,,,,,
10月,▼,1,2024-10-01 00:00:00,9月剩余,72340.42249,,,凤凰&洛阳&15+1（1200）&8+1（60）,35700,其中1400在10/1的合并付款，结9月的尾款,18:53:00,,2024-10-01 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,已付,
收入,,2,2024-10-02 00:00:00,凯旋城三期印度,20000,转汇旺了,10:04:00,后勤转入,20000,,,,2024-10-01 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,11900,SFA,已付,
1111450.062,,3,2024-10-02 00:00:00,凯旋城三期印度,30000,成成,10:06:00,凤凰&洛阳&15+1（1200）&8+1（60）,30744,右边尾款+9/30,10:40:00,,2024-10-01 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,已付,
支出,,4,2024-10-02 00:00:00,凯旋城三期印度,50000,成成,13:21:00,,,,,,2024-10-01 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,11900,SFA,已付,
1015854.304,,5,2024-10-02 00:00:00,凯旋城三期印度,38024,成成,16:51:00,海哥-印度粉9/22,38024,退款泰总，张总直出,16:51:00,,2024-10-02 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,2240,KE 33 (PDT) - YSC-Leigee-28,已付,
结余,,6,2024-10-02 00:00:00,印度一期9/19,23298,小柒,17:31:00,凤凰&洛阳&15+1（1200）&8+1（60）,40180,KE 33 (PDT) - YSC-Leigee-28（4480），SFA（23800），EGM （11900）,18:12:00,,2024-10-02 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,SFA,已付,
95595.75899,,7,2024-10-02 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,40,开户费,19:05:00,,2024-10-02 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,已付,
,,8,2024-10-03 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,2220,4户*500+220手续费,13:06:00,,,,,,,47600.0
任意时段查询,,9,2024-10-03 00:00:00,,,,,启航广告费,7261.81,启航,23:30:00,,,,,,,
起始日期：,,10,2024-10-04 00:00:00,,,,,BM户测试大白&,160,4个开户费,09:51:00,,47236.64,,,,,
2024-01-01 00:00:00,,11,2024-10-04 00:00:00,,,,,BM户测试大白&,4560,充值4K，手续费560,11:04:00,,802,退款（渠道商：斯特普思-泰华,,,,
结束日期：,,12,2024-10-04 00:00:00,,,,,后勤转入,54700,,16:55:00,,300,退款（渠道商：邻点美国三不限户,,,,
