11月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"财务统计
STATISTICS",,11月收支明细 DETAIL,,,,,,,,,,,,
,,序号,日期,收入,,,,支出,,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,3528.8858,广告配套,只有U的，需要加RMB的支出
11月,▼,1,2024-11-01 00:00:00,10月剩余,95595.75899,,,启航广告费,20000,,09:56:00,1260.0,Fb966半限户-啊噗,
收入,,2,2024-11-01 00:00:00,,,,,Fb966半限户-啊噗,210,,11:50:00,1265.0,一拖九半限户,
1607693.139,,3,2024-11-01 00:00:00,,,,,Fb966半限户-啊噗,210,,13:02:00,,,
支出,,4,2024-11-01 00:00:00,,,,,账单户广告费,2000.62,,13:02:00,,,
1320476.256,,5,2024-11-01 00:00:00,,,,,印度企业户100u➕14%扎克伯克,1230,1000×1.13+100=1230,15:09:00,8100.0,印度手工粉测试LS,代投
结余,,6,2024-11-01 00:00:00,,,,,账单户广告费,3000.01,第1笔,19:14:00,2756.0,土耳其单导代投,代投
287216.883,,7,2024-11-01 00:00:00,,,,,账单户广告费,3000.01,第2笔,19:14:00,,,
,,8,2024-11-01 00:00:00,,,,,十月二不限-泰华,3596,,22:16:00,40004.98,账单户广告费,
任意时段查询,,9,2024-11-02 00:00:00,,,,,启航广告费,20000,,12:06:00,340481.62,凤凰&洛阳11月,381625.42
起始日期：,,10,2024-11-02 00:00:00,,,,,Fb966半限户-啊噗,210,,14:14:00,305000.0,启航广告费,
2024-01-01 00:00:00,,11,2024-11-02 00:00:00,土耳其/A李信,32500,500*65=32500,15:18:00,十月二不限-泰华,1700,,19:13:00,2370.0,印度企业户100u➕14%扎克伯克,3626.986
结束日期：,,12,2024-11-02 00:00:00,,,,,账单户广告费,3000.83,,22:39:00,25592.0,十月二不限-泰华,
2099-04-30 00:00:00,,13,2024-11-03 00:00:00,,,,,启航广告费,20000,,10:16:00,22800.0,GT井号户,
收入,,14,2024-11-03 00:00:00,,,,,十月二不限-泰华,1730,,12:50:00,223906.94,GT美国,
1607693.139,,15,2024-11-03 00:00:00,,,,,GT美国,13334.43,,13:10:00,54636.06,GT欧洲,
支出,,16,2024-11-03 00:00:00,,,,,账单户广告费,3000.62,,13:51:00,0.0,GT台湾,
1320476.256,,17,2024-11-03 00:00:00,,,,,Fb966半限户-啊噗,210,,13:55:00,10875.27,金融户印度-泰华Jennie,
结余,,18,2024-11-03 00:00:00,,,,,Fb966半限户-啊噗,210,,17:05:00,147899.5,深圳芳林子@SHEN 户,
287216.883,,19,2024-11-03 00:00:00,新印度5期,100,成成,17:17:00,,,,,,,
,,20,2024-11-03 00:00:00,新印度5期,99900,成成,17:25:00,Fb966半限户-啊噗,210,,17:47:00,3691.29,退款（渠道商：济宁韦宁&香港有意思 二不限 3%,
