2025年11月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"财务统计
STATISTICS",,11月收支明细 DETAIL,,,,,,,,,,,8873.59,U支出的广告配套（不含RMB支出）,
,,序号,日期,收入,,,,支出,,,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,,190060.2481,后勤支出,
11月,▼,1,2025-11-01 00:00:00,10月结余,221029.655,,,fb三不限10➕1Nancy,1150,1000*1.11=1110+40=1150,11:14:00,,2220,凤凰渠道-泰华,
收入,,2,2025-11-01 00:00:00,,,,,GT&SHEN 欧洲户新,218,ZZ 100*1.09=109：SZ 100*1.09=109,15:06:00,,633.93,wade shen 美金谷歌户,已退
357273.995,,3,2025-11-01 00:00:00,渠道106-本土fb🇯🇵,18000,,15:46:00,岳总,7500,,15:50:00,,1414.78,二不限企业户Makie,11/14 管控
支出,,4,2025-11-01 00:00:00,,,,,GT&papa 二不限,104,ZZ 100*1.04=104,16:49:00,,25845.8718,星链-AdNova,
331257.4994,,5,2025-11-01 00:00:00,,,,,GT&papa 二不限,208,SZ 200*1.04=208,20:51:00,,218,GT&SHEN 欧洲户新,余额转谷歌了
结余,,6,2025-11-01 00:00:00,,,,,岳总,9150,,22:44:00,,5394.88,fb三不限10➕1Nancy,
26016.4956,,7,2025-11-02 00:00:00,渠道106-本土fb🇯🇵,36000,,13:23:00,广告配套,14.15,谷歌邮箱*5,14:08:00,,312,GT&papa 二不限新,11/17 封控
,,8,2025-11-02 00:00:00,,,,,二不限企业户,1414.78,-1380.27*1.025=-1414.78,14:19:00,,31650,岳总,
任意时段查询,,9,2025-11-02 00:00:00,,,,,岳总,15000,,15:54:00,,50,GT&SHEN 谷歌原生账单户,余额转谷歌了
起始日期：,,10,2025-11-02 00:00:00,,,,,广告配套,240,20端口,16:09:00,,5809.98,路人互动,
2024-01-01 00:00:00,,11,2025-11-03 00:00:00,华飞-Alex（三不限）8+千分6,200,退款,10:42:00,广告配套,66,BM：10,11:20:00,,4633.29,启航,
结束日期：,,12,2025-11-03 00:00:00,,,,,wade shen 美金谷歌户25+5%,633.93,SZ 1000-368.44*1.075-30=633.93,11:45:00,,5779.89,印度户印尼企业户,
2099-04-30 00:00:00,,13,2025-11-03 00:00:00,,,,,广告配套,14.15,谷歌邮箱*5,12:13:00,,1665,海总新渠道,
收入,,14,2025-11-03 00:00:00,,,,,GT&SHEN 谷歌原生账单户,50,开户费50,13:08:00,,387.63,GT&海总 欧洲金融户,
357273.995,,15,2025-11-03 00:00:00,,,,,后勤支出,15000,换汇,15:27:00,,3720.187497,海总-黑泽,
支出,,16,2025-11-03 00:00:00,bc 的广告费,10000,,16:54:00,广告配套,288.86,IP: 40个,19:49:00,,4335.69,Y-5208 FB欧/美户,
331257.4994,,17,2025-11-03 00:00:00,,,,,凤凰渠道-泰华,2220,ZZ 2000*1.11=2220,23:46:00,,4652.83,志诚三不限,
