2025年12月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 18,Unnamed: 19,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"财务统计
STATISTICS",,12月收支明细 DETAIL,,,,,,,,,,,5179.6729,U支出的广告配套（不含RMB支出）,,
,,序号,日期,收入,,,,支出,,,,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,,25910.27,后勤支出,,
12月,▼,1,2025-12-01 00:00:00,11月结余,26016.4956,,,,,,,,2780.13,fb三不限10➕1Nancy,0.0,wade shen 美金谷歌户
收入,,2,2025-12-01 00:00:00,,,,,广告配套,50,BM*10,10:35:00,,320,B哥&谷歌充值9➕1Nancy,,
220076.6266,,3,2025-12-01 00:00:00,,,,,广告配套,14.24,谷歌邮箱*8,11:17:00,,474.28,SZ_TK下户Chris Ryan,,
支出,,4,2025-12-01 00:00:00,海总-新加坡、加拿大,4000,,16:13:00,广告配套,288.86,IP: 40个,10:58:00,,1140,印度企业户 欧洲美金户下户,0.0,GT&SHEN 欧洲户新
198049.1904,,5,2025-12-01 00:00:00,,,,,印度企业户 欧洲美金户下户,1140,1000*1.14=1140,11:04:00,,4382.82,Y-5208 FB欧/美户,0.0,GT&papa 二不限新
结余,,6,2025-12-01 00:00:00,,,,,fb三不限10➕1Nancy,669.75,1000*1.111-441.25=669.75,1900-01-05 01:27:00,,1200,谷歌共享户/老户,,
22027.4362,,7,2025-12-02 00:00:00,,,,,SZ_TK下户Chris Ryan,474.28,(700-290.3)*1.06开户费+20*2=474.28,22:39:00,,221.12,路人互动,0.0,GT&SHEN 谷歌原生账单户
,,8,2025-12-03 00:00:00,,,,,广告配套,54.3,ADS续费,11:32:00,,3679.96,志诚三不限,,
任意时段查询,,9,2025-12-03 00:00:00,,,,,后勤支出,580.6,580.6，ZZY的周结算11/22-11/30,14:15:00,,643.86,路人互动系统,0.0,启航
起始日期：,,10,2025-12-03 00:00:00,,,,,广告配套,225,防护续费,14:17:00,,552.84,GT&papa欧,0.0,印度户印尼企业户
2024-01-01 00:00:00,,11,2025-12-03 00:00:00,,,,,Y-5208 FB欧/美户,320.04,"ZZ 2900.38+309.0418-3,444.38=-234.9582；SZ 500*1.11=555",14:48:00,,5629.83,星链-AdNova,0.0,海总新渠道
结束日期：,,12,2025-12-03 00:00:00,,,,,谷歌共享户/老户,100,开户费50*2=100,16:23:00,,1010,大鱼速汇,0.0,GT&海总 欧洲金融户
2099-04-30 00:00:00,,13,2025-12-03 00:00:00,,,,,Y-5208 FB欧/美户,2775,500*5*1.11=2775,18:10:00,,4444,VCC-新系统,0.0,海总-黑泽
收入,,14,2025-12-03 00:00:00,,,,,路人互动系统,107.68,开户费50*2+随机金额0.68+6.55*1.07=107.68,22:05:00,,2260.2375,谷歌-饭团,,
220076.6266,,15,2025-12-04 00:00:00,,,,,广告配套,50,工单,16:28:00,,4687.84,风口猪11月充值广告费,,
