2025年6月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"财务统计
STATISTICS",,6月收支明细 DETAIL,,,,,,,,,,2479.45,U支出的广告配套（不含RMB支出）
,,序号,日期,收入,,,,支出,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,462600.0926,后勤支出
6月,▼,1,2025-06-01 00:00:00,5月结余,396123.0002,,,,,,,314138.57,深圳芳林子
收入,,2,2025-06-01 00:00:00,白马2期,30800,,15:50:00,,,,,6711.28,海总-MC开户对接群（果果）
965658.5002,,3,2025-06-01 00:00:00,德国 张总（王总）,2295,"5月29-31日 德国 张总（王总）
5/29  有效5
5/30 有效3
5/31  有效9

合计：(5+3+9)*135=2295",16:03:00,,,,,13192.75,十月二不限——（泰华）
支出,,4,2025-06-01 00:00:00,拉总（印度）24,5856,,22:37:00,,,,,4743.13,印度企业户 欧洲美金户
826976.0326,,5,2025-06-02 00:00:00,,,,,后勤支出,178255.35,"5月分红- B哥396,123.00 *0.45=178255.35",10:07:00,3896.76,凤凰渠道-泰华
结余,,6,2025-06-02 00:00:00,,,,,深圳芳林子,3945.99,15000-11448.25=3551.75*1.1*1.01=3945.99,11:45:00,3603.2,泰华&ME-FB海外户对接群
138682.4676,,7,2025-06-02 00:00:00,白马3期,50400,,14:33:00,,,,,2505.8,黑泽-欧洲户对接
,,8,2025-06-03 00:00:00,,,,,广告配套,208.21,耐用号*5,10:42:00,1170,开户美国三不限户
任意时段查询,,9,2025-06-03 00:00:00,,,,,深圳芳林子,16665,15000*1.1*1.01=16665,11:06:00,520,济宁韦宁&香港有意思 二不限 3%
起始日期：,,10,2025-06-03 00:00:00,白马2期,31444,尾款,14:17:00,,,,,1110,海总新渠道 10+1
2024-01-01 00:00:00,,11,2025-06-03 00:00:00,拉总（印度）24,840,,14.31,,,,,1275,ALEX&西班牙
结束日期：,,12,2025-06-03 00:00:00,德国 张总（王总）,405,"6/2  有效3

合计：3*135=405",16:57:00,深圳芳林子,11204.01,（10000-853.32）*1.1918+开户费150*2*1.01=11204.01,16:57:00,6630,老傅渠道
2099-04-30 00:00:00,,13,2025-06-03 00:00:00,渠道BF 德国B,6500,,22:18:00,,,,,2400,印度006对接—henry
收入,,14,2025-06-04 00:00:00,,,,,深圳芳林子,16665,15000*1.1*1.01=16665,10:54:00,826976.0326,
965658.5002,,15,2025-06-04 00:00:00,,,,,海总-MC开户对接群（果果）,505,500*1.01=505,16：29,,
支出,,16,2025-06-04 00:00:00,,,,,十月二不限——（泰华）,838.89,(1400-611)*1.01+42=838.89,21:19:00,往上支出-------------------分割线-------------------往下收入,
826976.0326,,17,2025-06-05 00:00:00,海哥-奥地利,270,,13:22:00,印度企业户 欧洲美金户,560,500*1.12=560U,14:09:00,,
结余,,18,2025-06-05 00:00:00,,,,,后勤支出,13932.31255440911,发工资,14:35:00,97636,白马2期
