2025年7月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"财务统计
STATISTICS",,7月收支明细 DETAIL,,,,,,,,,,,3174.84,U支出的广告配套（不含RMB支出）
,,序号,日期,收入,,,,支出,,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,,176614.6747,后勤支出
7月,▼,1,2025-07-01 00:00:00,6月结余,138682.4676,,,,,,,,339022.42,深圳芳林子
收入,,2,2025-07-01 00:00:00,拉总（印度）24,4656,,00:32:00,深圳芳林子,16915.53,14193.26*1.18*1.01=16915.53,14:31:00,,40671.09,印度企业户 欧洲美金户
1512556.208,,3,2025-07-01 00:00:00,德国股票粉（2）组【张小强】,2185.6,"6月29-6/30日 德国股票粉（2）组【张小强】
6/29
C2确认有效3.33个

6/30
C2确认有效4个
M1确认有效6.33个

合计: （3.33+10.33）*160=2185.6",15:57:00,,,,,,9511.52,Nancy-印度户15➕1
支出,,4,2025-07-01 00:00:00,印度12期,50000,,15:58:00,深圳芳林子,1394.76,1190.48*1.16*1.01=1394.76,17:54:00,,175152.61,海总新渠道 10+1
1144021.937,,5,2025-07-01 00:00:00,,,,,印度企业户 欧洲美金户,594.18,（1000-487.78）*1.16=594.18U,18:07:00,,18417.42,启航广告费
结余,,6,2025-07-01 00:00:00,印度汤总,28000,,20:53:00,,,,,,3034,十月二不限——（泰华）
368534.2709,,7,2025-07-01 00:00:00,拉总（印度）24,6240,,23:48:00,,,,,,168932.692,凤凰渠道-泰华
,,8,2025-07-02 00:00:00,,,,,深圳芳林子,2789.52,200000/84*1.16*1.01=2789.52,11:56:00,,28902.08,济宁韦宁&香港有意思 二不限 3%
任意时段查询,,9,2025-07-02 00:00:00,波贝3期,50000,,13:40:00,印度企业户 欧洲美金户,1740,1500*1.16=1740U,13:53:00,,5750,海总/户合作mom
起始日期：,,10,2025-07-02 00:00:00,,,,,深圳芳林子,47672,40000*1.18*1.01=47672,13:56:00,,5600,路人互动-海总（50-7）山
2024-01-01 00:00:00,,11,2025-07-02 00:00:00,,,,,Nancy-印度户15➕1,9511.52,8189*1.15*1.01=9511.52,14:01:00,,62567.59,印度户印尼企业户
结束日期：,,12,2025-07-02 00:00:00,,,,,后勤支出,62407.1115,"6月分红- B哥138,682.47*0.45=62407.1115",14:04:00,,1645,Y-5208 FB欧/美户
2099-04-30 00:00:00,,13,2025-07-02 00:00:00,德国蟑螂哥渠道,480,6/30  有效1，7/1 有效2,15：09,印度企业户 欧洲美金户,3480,3000*1.16=3480U,18:42:00,,5600,阿水 印度mom 11+1
收入,,14,2025-07-02 00:00:00,印度汤总,28000,,21:29:00,,,,,,6116,波贝5期
1512556.208,,15,2025-07-03 00:00:00,,,,,深圳芳林子,35422.58,29721.92*1.18*1.01=35422.58,13:55:00,,9328,波贝4期
支出,,16,2025-07-03 00:00:00,拉总（印度）24,1560,,14:45:00,,,,,,50000,预支
