2月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 16,Unnamed: 17,Unnamed: 21
,,,,,,,,,,,,
,,,,,,,,,,,,
"财务统计
STATISTICS",,2月收支明细 DETAIL,,,,,,,,,,
,,序号,日期,收入,,,支出,,,,,
月份查询,,,,项目,金额,备注,项目,金额,备注,,,
2月,▼,1,2024-02-20 00:00:00,金鑫,10000,订金,,,,汇旺订单号：FW1759862467299020801,,
收入,,2,2024-02-20 00:00:00,酷酷,20000,,,,,,,
246799,,3,2024-02-20 00:00:00,西港,20000,,,,,,,
支出,,4,2024-02-20 00:00:00,,,,广告费,15160,,16799, 金鑫,
242439.36,,5,2024-02-20 00:00:00,,,,浏览器,17,,246799,西港,17.0
结余,,6,2024-02-21 00:00:00,,,,IP,155,,,,3.48
4359.64,,7,2024-02-21 00:00:00,,,,广告费,3000,, ,,5.0
,,8,2024-02-21 00:00:00,,,,广告费,11160,,,,17.5
任意时段查询,,9,2024-02-21 00:00:00,,,,广告费,3000,,,,11.0
起始日期：,,10,2024-02-22 00:00:00,,,,BM ,3.48,,,,20.0
2024-01-01 00:00:00,,11,2024-02-22 00:00:00,,,,广告账户,428.6,,,,3.48
结束日期：,,12,2024-02-22 00:00:00,,,,广告费,3000,,,,3.48
2099-04-30 00:00:00,,13,2024-02-22 00:00:00,,,,个号,5,,,,20.0
收入,,14,2024-02-22 00:00:00,,,,广告费,5000,,,,100.94
246799,,15,2024-02-22 00:00:00,,,,广告费,8160,,,,
支出,,16,2024-02-23 00:00:00,,,,广告费,3001,,,,
242439.36,,17,2024-02-23 00:00:00,酷酷,20000,,,,,,,
结余,,18,2024-02-23 00:00:00,西港,20000,,,,,,,
4359.64,,19,2024-02-23 00:00:00,,,,广告费,5000,,,,
,,20,2024-02-23 00:00:00,,,,矿工费,200,,,,
,,21,2024-02-23 00:00:00,,,,广告费,8160,,,,
,,22,2024-02-23 00:00:00,,,,广告费,5000,,,,
,,23,2024-02-23 00:00:00,,,,广告费,8160,,,,
,,24,2024-02-23 00:00:00,,,,广告费,5000,,,,
,,25,2024-02-23 00:00:00,,,,广告账户,542.9,10,,,
,,26,2024-02-23 00:00:00,,,,BM,17.5,5,,,
,,27,2024-02-23 00:00:00,金鑫,6799,,,,,,,
,,28,2024-02-24 00:00:00,,,,BM,11,3,,,
,,29,2024-02-24 00:00:00,,,,广告费,3060,,,,
,,30,2024-02-24 00:00:00,,,,广告费,6120,,,,
,,31,2024-02-24 00:00:00,,,,广告费,5000,,,,
,,32,2024-02-24 00:00:00,西港,20000,,,,,,,
,,33,2024-02-24 00:00:00,,,,广告费,8160,,,,
,,34,2024-02-24 00:00:00,,,,广告账户,542.9,10,,,
,,35,2024-02-24 00:00:00,,,,广告费,5000,,,,
,,36,2024-02-24 00:00:00,,,,广告费,3060,,,,
,,37,2024-02-24 00:00:00,,,,FB个号,20,4,,,
,,38,2024-02-24 00:00:00,,,,广告费,4000,,,,
,,39,2024-02-24 00:00:00,,,,BM ,$3.48,,,,
