备用金充值表$,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,
,,,,,,,,,,,,
"财务统计
STATISTICS",收支明细 DETAIL,,,,,,,,,,,
,序号,日期,收入（$）,,,,支出（$）,,,,,
月份查询,,,项目,金额（$）,备注,时间,项目,金额（$）,备注,时间,19200.48,账单户广告费
7月,1,2024-07-01 00:00:00,6月结余,18293.25,,,,,,,7577.79,启航广告费
收入,2,2024-07-01 00:00:00,,,,,账单户广告费,18000.48,账单户,01：15,0.0,小h广告费
74793.25,3,2024-07-03 00:00:00,,,,,广告配套,51.5,个号,11：14,0.0,飞书广告费
支出,4,2024-07-14 00:00:00,收入,5000,,14：15,,,,,7168.28,广告配套
74143.57,5,2024-07-14 00:00:00,,,,,广告配套,1247,账单户,14:53:00,30092.02,fb广告费充值
结余,6,2024-07-14 00:00:00,,,,,广告配套,600,IP,19:52:00,105.0,广告费
649.68,7,2024-07-17 00:00:00,,,,,广告配套,1247,账单户,11：36,10000.0,欧洲广告费
,8,2024-07-17 00:00:00,,,,,广告配套,736,美国户,13：16,,
,9,2024-07-17 00:00:00,,,,,广告配套,0.77,谷歌邮箱,14：21,,
,10,2024-07-17 00:00:00,,,,,广告配套,200,浏览器,14：41,,
,11,2024-07-17 00:00:00,,,,,广告配套,125,谷歌户, 15：27,,
,12,2024-07-17 00:00:00,,,,,广告配套,125,谷歌户,15：30,,
,13,2024-07-17 00:00:00,,,,,广告配套,0.77,谷歌邮箱,15：34,,
,14,2024-07-18 00:00:00,,,,,广告配套,70,BM,14：05,,
,15,2024-07-18 00:00:00,,,,,广告配套,382,计数器,21：04,,
,16,2024-07-19 00:00:00,,,,,广告配套,0.77,谷歌邮箱,12：57,,
,17,2024-07-21 00:00:00,,,,,广告配套,222,斗篷,20：36,,
,18,2024-07-21 00:00:00,,,,,广告费,105,美金谷歌户,22：20,,
,19,2024-07-22 00:00:00,,,,,广告配套,0.77,谷歌邮箱,13：33,,
,20,2024-07-22 00:00:00,收入,6000,,18：49,,,,,,
,21,2024-07-22 00:00:00,收入,500,,18：50,,,,,,
,22,2024-07-22 00:00:00,,,,,账单户广告费,200,Feetcard,19：27,,
,23,2024-07-23 00:00:00,,,,,fb广告费充值,3787.5,深圳芳林子,14：03,,
,24,2024-07-23 00:00:00,,,,,广告配套,125,"BM5,耐用号",14：56,,
,25,2024-07-23 00:00:00,,,,,广告配套,70,BM5，BM,18：39,,
,26,2024-07-24 00:00:00,,,,,账单户广告费,1000,Feetcard,11：25,,
,27,2024-07-24 00:00:00,,,,,fb广告费充值,1262.5,深圳芳林子,15：11,,
,28,2024-07-25 00:00:00,收入,10000,,12：13,,,,,,
,29,2024-07-25 00:00:00,,,,,广告配套,70,BM5/BM,15：42,,
,30,2024-07-26 00:00:00,收入,20000,,07：46,,,,,,
,31,2024-07-26 00:00:00,,,,,fb广告费充值,2525,深圳芳林子,09：18,,
,32,2024-07-26 00:00:00,,,,,欧洲广告费,10000,小南 江,09：21,,
