7月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"财务统计
STATISTICS",,7月收支明细 DETAIL,,,,,,,,,,5300,小h广告费,,
,,序号,日期,收入,,,,支出,,,,28025,飞书广告费,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,12109.9,fb广告费充值,42201.92,50049.62
7月,▼,1,2024-06-30 00:00:00,6月结余,4097.988,,,,,,,10125,谷歌广告费,,
收入,,2,2024-06-30 00:00:00,印度9期（20000）,100000,,16:05:00,账单户广告费,40000.39,账单户,17:16:00,529010.57,账单户广告费,548211.05,
937397.988,,3,2024-06-30 00:00:00,,,,,广告配套,1450,账单户备用金,17:26:00,44910,小南 江,,
支出,,4,2024-06-30 00:00:00,澳大利亚粉小牛,100,,,,,,,5675,启航广告费,13252.79,
913004.6655,,5,2024-06-30 00:00:00,澳大利亚粉小牛,19900,,20:04:00,代投广告费,10000,FA代投,21:38:00,64999,代投广告费,,
结余,,6,2024-06-30 00:00:00,,,,,账单户广告费,40000.39,账单户,21:59:00,4489.48,远程佣金,,
24393.32249,,7,2024-07-01 00:00:00,,,,,账单户广告费,30000.5,账单户,12:35:00,14507.71551,广告配套,24050.59551,
,,8,2024-07-01 00:00:00,印度9期（20000）,100000,,14:19:00,后勤转入,30000,后勤,14:33:00,56500,备用金,,
任意时段查询,,9,2024-07-02 00:00:00,,,,,账单户广告费,40000.21,账单户,09:28:00,413429,印度9期（20000）,,
起始日期：,,10,2024-07-02 00:00:00,,,,,账单户广告费,25000.61,账单户,20:06:00,2647,澳大利亚粉小牛,,
2024-01-01 00:00:00,,11,2024-07-03 00:00:00,,,,,账单户广告费,7500.88,账单户,11:34:00,104000,美国股票粉'：1成成金边,,
结束日期：,,12,2024-07-03 00:00:00,印度9期（20000）,100000,,14:27:00,账单户广告费,35000.92,账单户,14:31:00,217000,美国股票粉（2）菲菲西港,,
2099-04-30 00:00:00,,13,2024-07-03 00:00:00,,,,,后勤转入,30000,后勤,16:21:00,209300,印度11期'（20000）,,
收入,,14,2024-07-03 00:00:00,,,,,账单户广告费,25000.95,账单户,22:19:00,8000,美盘打粉对接群（钱总群）,,
937397.988,,15,2024-07-04 00:00:00,,,,,远程佣金,3034.22,史戈团队6/25-7/1佣金,11:05:00,5000,印度期权测试（土耳其）啊斗,,
支出,,16,2024-07-04 00:00:00,,,,,广告配套,1236,账单户,11:06:00,,,,
913004.6655,,17,2024-07-04 00:00:00,印度9期（20000）,50000,,14:23:00,,,,,,,,
结余,,18,2024-07-04 00:00:00,美国股票粉'：1成成,10,,14:29:00,,,,,,,,
24393.32249,,19,2024-07-04 00:00:00,美国股票粉'：1成成,3990,,14:32:00,账单户广告费,35000.77,账单户,14:34:00,,,,
,,20,2024-07-06 00:00:00,美国股票粉（2）菲菲,7000,,12:57:00,,,,,,,,
