8月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 25
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"财务统计
STATISTICS",,8月收支明细 DETAIL,,,,,,,,,,,,,扣了退款后的金额,,
,,序号,日期,收入,,,,支出,,,,,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,4008.91,远程佣金,,4008.91,,
8月,▼,1,2024-08-01 00:00:00,7月结余,24393.32249,,,,,,,10007.05,广告配套,12649.29,12649.29,,
收入,,2,2024-08-01 00:00:00,,,,,wade 美国户6+1,3929.78,wade 美国户6+1广告费Jennie,11:25:00,1070120,凤凰&洛阳&15+1（1200）&8+1（60）,,1070120,,
1859007.612,,3,2024-08-01 00:00:00,,,,,wade- 海外户对接nancy,2080.6,nancy海外户广告费,13:30:00,524,谷歌新主体户15+6,,524,,
支出,,4,2024-08-01 00:00:00,,,,,wade- 海外户对接nancy,3300.6,nancy海外户广告费,14:03:00,10200,江小南虚拟卡广告费,65110,59003.09,,
1844118.72,,5,2024-08-01 00:00:00,,,,,广告配套,277.75,su mmer$60；半限户*5,16:41:00,42604.71,账单户广告费,,42604.71,,
结余,,6,2024-08-01 00:00:00,,,,,fb广告费充值,3484.5,深圳芳林子,19:09:00,7847.7,深圳芳fb广告费充值,50049.62,36.299.88,,
14888.89249,,7,2024-08-02 00:00:00,备用金转回,234.16,,09：05,江小南虚拟卡广告费,10200,江小南,09:07:00,4405.98,wade 美国户6+1,2962.97,2962.97,,
,,8,2024-08-02 00:00:00,,,,,广告配套,303,su mmer$60；不限户*5,09:11:00,27701.2,wade- 海外户对接nancy,33201.2,11770.26,13430.94,
任意时段查询,,9,2024-08-02 00:00:00,后勤转入,10000,,10:56:00,fb广告费充值,4363.2,深圳芳林子,10:56:00,83919,fb代投广告费,shen-🇮🇳对接群,78895,,
起始日期：,,10,2024-08-02 00:00:00,八期九期十期结款,63429,,14:04:00,后勤转回,10001,,14:08:00,4800,美丽fb代投广告费,shen-美丽🇺🇸对接群,4800,,
2024-01-01 00:00:00,,11,2024-08-02 00:00:00,印度11期'（20000）,50000,,14:16:00,fb代投广告费,5400,shen-🇮🇳对接群,15:18:00,99876.57,启航广告费,103669.99,99876.57,,
结束日期：,,12,2024-08-02 00:00:00,,,,,广告配套,414.1,"su mmer$60；rip1500us $ 100  一个
rip1500 $80   一个
rip250us $70  一个
ttb1500 $80   2个",15:22:00,16000,谷歌代投,,2944,,
2099-04-30 00:00:00,,13,2024-08-02 00:00:00,,,,,广告配套,416,bm5；个号*5,16:02:00,138735,Fa代投广告费,,138735,,
收入,,14,2024-08-02 00:00:00,,,,,后勤转入,63000,后勤,16:25:00,1030,欧洲户广告费,,1030,,
1859007.612,,15,2024-08-02 00:00:00,谷歌新主体户15+6退款,990,黑泽明 ,16:34:00,启航广告费,736.9,启航,17:40:00,8500,SW 印度 表单＋落地页40+前10城市,,8500,,
