月份,团队,业务类型,地区,项目/代投人名称,有效数(粉/人),总支出/消耗,实际收款,项目毛利,剩余预付款,备注
11月,SZ,自投项目,德国,德国Summer,227.0,22713.24,40860.0,18146.76,-,-
11月,SZ,外部代投,日本,岳总,205.0,30750.0,36900.0,6150.0,0,-
11月,SZ,自投项目,新加坡,海总-新加坡、加拿大、美国,1.0,244.28,100.0,-144.28,5055,海总-新加坡、加拿大、美国的预付款是一起的，11月结余合计5055
11月,SZ,自投项目,加拿大,海总-新加坡、加拿大、美国,33.0,6599.76,3300.0,-3299.76,0,
11月,SZ,自投项目,美国,海总-新加坡、加拿大、美国,3.0,93.96,345.0,251.04,0,
11月,SZ,自投项目,马来,B哥/马来英语粉,1.0,1157.01,95.0,-1062.01,20455,B哥/马来英语粉11月预付款剩余20455
11月,SZ,自投项目,印度,印度K4/印度资金测试,0.0,110.39,0.0,-110.39,0,
11月,SZ,自投项目,瑞典,瑞典1梯队蟑螂哥渠道,0.0,67.43,0.0,-67.43,0,
11月,SZ,自投项目,比利时,海总-比利时单导测试,0.0,27.36,0.0,-27.36,0,
11月,ZZ,自投项目,印度,印度资金测试,121.0,4129.82,0.0,-4129.82,0,"12/8 收款20,000"
11月,ZZ,自投项目,印尼,印尼一期,0.0,0.0,0.0,0.0,0,
11月,ZZ,自投项目,印尼,印尼二期,156.0,6653.77,7000.0,346.23,0,印尼一期二期合计收款7000
11月,ZZ,自投项目,马来西亚,B哥/马来英语粉,128.0,5797.11,12160.0,6362.89,20455,B哥/马来英语粉11月预付款剩余20455，重复值
11月,ZZ,自投项目,尼日利亚,尼日利亚,0.0,4277.75,5768.9,1491.15,0,
11月,ZZ,自投项目,德国,德国单粉—summer FB180,0.0,24.26,0.0,-24.26,0,
11月,ZZ,自投项目,新加坡,海总-新加坡、加拿大、美国,15.0,464.5,1500.0,1035.5,5055,海总-新加坡、加拿大、美国的预付款是一起的，11月结余合计5055，重复值
11月,ZZ,自投项目,瑞典,瑞典1梯队蟑螂哥渠道,38.0,9652.06,3420.0,-6232.06,0,
11月,ZZ,自投项目,韩国,A1韩国维权粉测试 服务费10%,0.0,174.52,0.0,-174.52,0,
10月,ZZ,自投项目,印度,印度20期,2829.0,58100.5875,87699.0,29598.4125,0,
10月,ZZ,自投项目,印度,印度白马5期,1500.0,30806.25,46500.0,15693.75,0,
10月,ZZ,自投项目,印度,印度新K1,5274.0,108314.775,163494.0,55179.225,0,
10月,ZZ,自投项目,印度,印度K4,4226.0,86791.475,131006.0,44214.525,0,
10月,ZZ,自投项目,印度,印度K26,4644.0,95376.18,143964.0,48587.82,0,
10月,ZZ,自投项目,马来西亚,B哥/马来英语粉,94.0,4885.78025252381,8930.0,4044.219747,33355,"B哥/马来英语粉10月预付款剩余33,355"
10月,ZZ,自投项目,德国,德国单粉—summer,10.0,1918.26,1800.0,-118.26,0,预付款已退清
10月,ZZ,自投项目,韩国,A1韩国维权粉测试 服务费10%,0.0,1685.08,0.0,-1685.08,0,
10月,ZZ,自投项目,日本,渠道106-本土fb🇯🇵,0.0,0.0,0.0,0.0,0,
10月,ZZ,自投项目,尼日利亚,尼日利亚,0.0,488.3,0.0,-488.3,12060,渠道106-本土fb🇯🇵10月预付款剩余12060
10月,ZZ,自投项目,比利时,海总-比利时单导测试,0.0,608.69,0.0,-608.69,0,
10月,SZ,外部代投,日本,岳总,164.0,24600.0,29700.0,5100.0,0,
10月,SZ,自投项目,印度,印度20期,30.0,1807.167,930.0,-877.167,0,
10月,SZ,自投项目,印度,印度白马5期,0.0,0.0,0.0,0.0,0,
10月,SZ,自投项目,印度,印度新K1,0.0,0.0,0.0,0.0,0,
10月,SZ,自投项目,印度,印度K4,131.0,7891.2959,4061.0,-3830.2959,0,
10月,SZ,自投项目,印度,印度K26,8.0,481.9112,248.0,-233.9112,0,
10月,SZ,自投项目,马来西亚,B哥/马来英语粉,90.0,8953.16,8550.0,-403.16,33355,"B哥/马来英语粉10月预付款剩余33,355，重复值"
10月,SZ,自投项目,日本,渠道106-本土fb🇯🇵,0.0,0.0,0.0,0.0,0,
10月,SZ,自投项目,德国,德国单粉—summer,0.0,0.0,0.0,0.0,0,
10月,SZ,自投项目,比利时,海总-比利时单导测试,0.0,137.09,0.0,-137.09,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,212547.6781,,
,,,,,,,,425095.3563,,
