时间戳记,日期,投手,地区,广告消耗（AD Spend） 美元(USD) ,成效（result）,进粉数（people）,平台,单粉成本,单次成效费用,所属团队（team）
2024-09-24 00:45:16.143000,2024-09-23,善光,土耳其(Turkey),269.53,9.0,8.0,,33.69125,33.69125,深圳团队
2024-09-24 00:46:33.558000,2024-09-23,善光,印度（India）,11016.23,709.0,526.0,,20.94340304,20.94340304,深圳团队
2024-09-24 00:47:04.078000,2024-09-23,紫光,印度（India）,547.61,29.0,24.0,,22.81708333,22.81708333,深圳团队
2024-09-24 00:47:40.572000,2024-09-23,紫光,土耳其(Turkey),254.74,11.0,9.0,,28.30444444,28.30444444,深圳团队
2024-09-24 00:51:32.328000,2024-09-23,WYF,土耳其(Turkey),1228.01,41.0,18.0,,68.22277778,68.22277778,郑州团队
2024-09-24 15:17:38.525000,2024-09-23,阿北,印度（India）,5733.56,278.0,139.0,,41.24863309,41.24863309,深圳团队
2024-09-24 15:18:27.964000,2024-09-23,云迪,印度（India）,8721.08,792.0,450.0,,19.38017778,19.38017778,深圳团队
2024-09-24 15:21:14.460000,2024-09-23,老郭,印度（India）,1726.85,132.0,83.0,,20.80542169,20.80542169,深圳团队
2024-09-24 15:30:26.439000,2024-09-23,LYD,土耳其(Turkey),222.96,8.0,5.0,,44.592,44.592,金边团队
2024-09-24 15:31:17.828000,2024-09-23,LYD,印度（India）,22.96,2.0,0.0,,#DIV/0!,#DIV/0!,金边团队
2024-09-24 15:31:26.108000,2024-09-23,LJA,土耳其(Turkey),2962.44,86.0,37.0,,80.06594595,80.06594595,郑州团队
2024-09-24 15:31:38.219000,2024-09-23,HF,土耳其(Turkey),1340.57,54.0,10.0,,134.057,134.057,郑州团队
2024-09-24 15:33:18.268000,2024-09-24,LQ,土耳其(Turkey),2410.29,71.0,15.0,,160.686,160.686,郑州团队
2024-09-24 15:34:13.883000,2024-09-23,WD,土耳其(Turkey),2774.07,207.0,51.0,,54.39352941,54.39352941,郑州团队
2024-09-24 15:34:20.652000,2024-09-23,LQ,土耳其(Turkey),2410.29,71.0,0.0,,#DIV/0!,#DIV/0!,郑州团队
2024-09-24 15:34:51.408000,2024-09-23,WD,印度（India）,781.08,72.0,17.0,,45.94588235,45.94588235,郑州团队
2024-09-24 15:35:37.121000,2024-09-23,SG,印度（India）,6751.4,836.0,345.0,,19.56927536,19.56927536,郑州团队
2024-09-24 15:51:16.894000,2024-09-23,YK,印度（India）,5073.12,500.0,260.0,,19.512,19.512,金边团队
2024-09-24 15:51:55.484000,2024-09-23,YK,土耳其(Turkey),1126.21,40.0,15.0,,75.08066667,75.08066667,金边团队
2024-09-24 15:53:16.414000,2024-09-23,MY,印度（India）,7805.79,800.0,479.0,,16.29601253,16.29601253,金边团队
2024-09-24 15:54:32.239000,2024-09-23,MY,土耳其(Turkey),272.21,16.0,11.0,,24.74636364,24.74636364,金边团队
2024-09-24 15:56:17.785000,2024-09-23,YJ,印度（India）,6084.07,590.0,261.0,,23.31061303,23.31061303,郑州团队
2024-09-24 16:06:46.937000,2024-09-23,HY,土耳其(Turkey),5789.73,344.0,222.0,,26.07986486,26.07986486,郑州团队
2024-09-24 18:09:18.909000,2024-09-23,小赵,印度（India）,2406.18,156.0,72.0,,33.41916667,33.41916667,深圳团队
2024-09-24 19:38:03.976000,2024-09-23,憨豆,印度（India）,196.12,53.0,38.0,,5.161052632,5.161052632,深圳团队
2024-09-24 19:40:20.692000,2024-09-23,憨豆,土耳其(Turkey),204.39,10.0,4.0,,51.0975,51.0975,深圳团队
2024-09-24 21:14:05.598000,2024-09-24,SG,土耳其(Turkey),200.58,12.0,4.0,,50.145,50.145,郑州团队
2024-09-24 22:10:38.241000,2024-09-23,Mar,印度（India）,2074.11,130.0,45.0,,46.09133333,46.09133333,郑州团队
2024-09-24 22:23:52.962000,2024-09-24,LJA,土耳其(Turkey),1953.66,65.0,0.0,,#DIV/0!,#DIV/0!,郑州团队
2024-09-24 22:40:52.701000,2024-09-24,LQ,土耳其(Turkey),3029.89,108.0,0.0,,#DIV/0!,#DIV/0!,郑州团队
2024-09-24 22:42:31.819000,2024-09-24,SG,印度（India）,8291.58,1128.0,458.0,,18.10388646,18.10388646,郑州团队
2024-09-24 22:46:37.321000,2024-09-24,WD,印度（India）,1884.92,169.0,66.0,,28.55939394,28.55939394,郑州团队
2024-09-24 22:50:50.850000,2024-09-24,HF,土耳其(Turkey),603.09,22.0,0.0,,#DIV/0!,#DIV/0!,郑州团队
2024-09-24 22:51:24.968000,2024-09-24,WD,土耳其(Turkey),1836.48,92.0,11.0,,166.9527273,166.9527273,郑州团队
2024-09-24 22:53:57.910000,2024-09-24,MY,印度（India）,13320.05,1210.0,780.0,,17.07698718,17.07698718,金边团队
2024-09-24 22:56:56.040000,2024-09-24,YJ,土耳其(Turkey),984.33,60.0,33.0,,29.82818182,29.82818182,郑州团队
2024-09-24 22:57:29.899000,2024-09-24,Mar,印度（India）,2064.59,132.0,65.0,,31.76292308,31.76292308,郑州团队
2024-09-24 22:59:39.718000,2024-09-24,HY,土耳其(Turkey),3071.65,169.0,96.0,,31.99635417,31.99635417,郑州团队
2024-09-24 23:02:48.383000,2024-09-24,MY,土耳其(Turkey),724.12,31.0,22.0,,32.91454545,32.91454545,金边团队
2024-09-24 23:04:38.798000,2024-09-24,YJ,印度（India）,6242.76,651.0,273.0,,22.86725275,22.86725275,郑州团队
2024-09-24 23:08:55.739000,2024-09-24,YK,印度（India）,8029.99,800.0,467.0,,17.1948394,17.1948394,金边团队
2024-09-24 23:12:39.131000,2024-09-24,WYF,土耳其(Turkey),329.1,18.0,0.0,,#DIV/0!,#DIV/0!,郑州团队
2024-09-24 23:13:40.098000,2024-09-24,LYD,土耳其(Turkey),215.34,10.0,5.0,,43.068,43.068,金边团队
2024-09-24 23:14:05.029000,2024-09-24,YK,土耳其(Turkey),1349.33,70.0,41.0,,32.9104878,32.9104878,金边团队
