日期,投手,账户,充值金额,户商清零金额,提交清零金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,备用金,Unnamed: 17
2025-12-01,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,500,0.0,0,/,总充值2500,55.5,二不限-106.05+三不限-8.19-555.5=-563.19=-669.75,2025-12-01 00:00:00,669.75,1000.0,111.0,441.25,1000*1.111-441.25=669.75
2025-12-03,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,500,0.0,0,已结算12/8,总充值3000,55.5,"二不限备用金474.85/1.1/1.01+86.21/1.1/1.01=561.06/1.01/1.1=505.00
三不限备用金5",2025-12-05 00:00:00,599.94611,500.0,104.93611,4.99,（500-4.99）*1.1*1.01+开户费50=599.95
2025-12-05,YK,SGCC-WH-SC-01  1359405748555107,开户费,,停用,/,50+5+1,50.0,(5-500)*1.1*1.01-50=-599.95,2025-12-05 00:00:00,630.25,500.0,130.25,,500*1.05*1.01+开户费50*2=630.25
2025-12-05,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,500,-752.34,754.37,已结算12/8,总充值3500,55.5,,2025-12-16 00:00:00,703.39,667.09,36.3,,600*1.05*1.01+67.09=703.39
2025-12-05,YK,SGCC-WH-SC-01  1359405748555107,100,-82.44,82.95,已结算12/12,开户,6.05,-630.25,2025-12-19 00:00:00,176.793895,300.0,47.803895,171.01,飞书三不限 171.01-300=-128.99*1.05*1.01+40=-176.79
2025-12-05,YK,SGCC-WH-SC-02  25251899997753326,100,0.0,0,已结算12/12,开户,6.05,,,,,,,
2025-12-05,YK,SGCC-WH-SC-03  888082373647170,100,-79.98,80.26,已结算12/12,开户,6.05,,,,,,,
2025-12-05,YK,SGCC-WH-SC-04  629627490176715,100,-89.65,89.26,已结算12/12,开户,6.05,,,,,,,
2025-12-05,YK,SGCC-WH-SC-05  1374080554125913,100,-48.81,49.84,已结算12/12,开户,6.05,,,,,,,
2025-12-08,SZ-LL,MHKM3-QZWES-01  1929591050985947,开户费,,,/,50+5+1,50.0,,,,,,,
2025-12-08,YK,MHKM3-GZXWL-01  894141633260646,开户费,,,,50+5+1,50.0,,,,,,,
2025-12-06,YK,SGCC-WH-SC-02  25251899997753326,200,-203.01,206.82,已结算12/12,总充值300,12.1,原二不限备用金353.11-212.1=141.01、三不限Ten752.34,,,,,,
2025-12-08,YK,MHKM3-GZXWL-01  894141633260646,100,-39.47,45.58,已结算12/12,开户,6.05,"三不限Ten752.34/1.05/1.01=709.42-500=209.42
原二不限 141.01",,,,,,
2025-12-08,YK,MHKM3-GZXWL-02  1198322152228234,100,-74.04,76.36,已结算12/18,开户,6.05,,,,,,,
2025-12-08,YK,MHKM3-GZXWL-03  1899600214096865,100,-26.43,31.56,已结算12/18,开户,6.05,,,,,,,
2025-12-08,YK,MHKM3-GZXWL-04  1163882255939456,100,-37.62,43.7,已结算12/12,开户,6.05,,,,,,,
2025-12-08,YK,MHKM3-GZXWL-05  4349961965261002,100,-9.55,13.82,已结算12/12,开户,6.05,,,,,,,
2025-12-12,,,,,,,,,二不限清零590.53+209.42=799.95、原二不限141.01、T三不限319.74,,,,,,
2025-12-13,YK,MHKM3-QZWES-01  1929591050985947,100,-63.82,65.42,已结算12/17,开户,6.05,"二不限清零799.95-500=299.95
原二不限141.01
T三不限319.74",,,,,,
