日期,投手,账户,充值金额,户商清零金额,提交清零金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,备用金,付款截图,Unnamed: 17
2025-12-01,YJ,PeakTime-519  1034713942063722,1000,-998.07,998.31,已结算12/6,开户,110.0,"-4072.65-2000-TK180=-6252.65
备用金-6252.65+17092.68",2025-12-14 00:00:00,3107.96,3700.0,706.0,1298.04,,3700+706-1298.04=3107.96
2025-12-01,SZ-YX,PeakTime-520  1030662495849714,1000,,,,开户,110.0,,2025-12-19 00:00:00,0.0,300.0,104.0,404.0,/,
,,,,,,,,,"-6252.65+17092.68+2号LUS清零1372.74，TK户清零380.7=12593.47
(TK清零280.7，LUS1372.74）",,,,,,,
2025-12-06,,,,,,,,,TK清零204.47、P清零2981.96,,,,,,,
2025-12-08,YK,"NWH GYM, LLC-2  7579597954596683783",开户费,,停用,/,/,80.0,"备用金：12593.47(TK清零280.7，LUS1372.74）=12312.77-284.02=12028.75
+P清零2981.96-2884=12126.71",,,,,,,
2025-12-09,YK,"NWH GYM, LLC-2  7579597954596683783",100,0.0,0,已结算12/15,开户,8.0,/（备用金4364.04）,,,,,,,
2025-12-10,YK,"NWH GYM, LLC-2  7579597954596683783",300,-263.17,263.17,已结算12/15,总充值400,24.0,,,,,,,,
2025-12-11,YK,L.O.E LLC 02  7567673340870295553,开户费,,停用,/,/,80.0,/(备用金2800.04）,,,,,,,
2025-12-11,YK,L.O.E LLC 02  7567673340870295553,100,-68.09,68.09,已结算12/17,开户,8.0,,,,,,,,
2025-12-11,HY,POLLYV-236  692640923860971,1000,,,,开户,110.0,,,,,,,,
2025-12-12,YK,N W LOPEZ LAWN CARE LLC-1  7579889612559089665,开户费,,停用,/,/,80.0,/(备用金1452.04）,,,,,,,
2025-12-12,YK,NW 1159 LLC-01  7579876463600582664,开户费,,停用,,/,80.0,,,,,,,,
2025-12-12,YK,N W LOPEZ LAWN CARE LLC-1  7579889612559089665,100,-100.0,100,已结算12/17,开户,8.0,,,,,,,,
2025-12-12,YK,NW 1159 LLC-01  7579876463600582664,100,,100,,开户,8.0,,,,,,,,
2025-12-14,HY,CapitalV-14  1303476708234144,1000,,,回收不入账,开户,110.0,/(备用金-3107.96）,,,,,,,
2025-12-14,YJ,CapitalV-15  793011120341955,1000,,,,开户,110.0,,,,,,,,
2025-12-14,YK,CapitalV-16  2357057451413132,1000,,,,开户,110.0,,,,,,,,
2025-12-14,LD,CapitalV-17  2485955405111648,1000,,,,开户,110.0,,,,,,,,
2025-12-14,LM,CapitalV-78  1348876219989402,1000,,,,开户,110.0,/(备用金-4086.7）,,,,,,,
2025-12-14,JK,CapitalV-79   758663177005102,1000,,,,开户,110.0,,,,,,,,
2025-12-15,YJ,"KC1 UNIT 1233, LLC-1  7581816116143325191",开户费,,,,,80.0,-6650.7,,,,,,,
2025-12-15,YJ,"KC1 UNIT 1233, LLC-1  7581816116143325191",100,,,,开户,8.0,,,,,,,,
2025-12-16,,,,,,,,,"17号p清零995.5，TK充值1600，备用金-6650.7
cap退回6000+995.5-1600*1.08-6650.7=-1383.2+p清零999.63=-383.57",,,,,,,
2025-12-17,,,,,,,,,TK清零416.06，备用金-383.57,,,,,,,
2025-12-18,JK,"KC1 UNIT 1233, LLC-1  7581816116143325191",200,,,,总充值300,16.0,-5118.23,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,总计,3107.96,,810.0,,,
