日期,投手,账户,充值金额,户商清零金额,提交清零金额,结算,备注,开户充值手续费,付款时间,付款金额,充值金额.1,手续费,Unnamed: 17
2025-12-11,YK,01 1  1556948215485152,100.0,0.0,0.0,已结算12/13,开户,0.0,2025-12-17 00:00:00,2167.81,2167.81,0.0,12/11-12/16的已结算2167.81
2025-12-11,YK,01 2  2040394593448446,100.0,0.0,0.0,已结算12/13,开户,0.0,,,,,
2025-12-11,YK,01 3  1679504480120740,100.0,0.0,0.0,已结算12/13,开户,0.0,,,,,
2025-12-11,YK,01 4  1213050317353296,100.0,0.0,0.0,已结算12/13,开户,0.0,,,,,
2025-12-11,YK,01 5  824826453257742,100.0,0.0,0.0,已结算12/13,开户,0.0,,,,,
2025-12-12,YK,01 1  1556948215485152,200.0,-167.79,176.33,已结算12/13,总充值300,0.0,,,,,
2025-12-12,YK,01 2  2040394593448446,200.0,-50.66,62.61,已结算12/13,总充值300,0.0,,,,,
2025-12-12,YK,01 3  1679504480120740,200.0,-106.68,120.54,已结算12/13,总充值300,0.0,,,,,
2025-12-12,YK,01 4  1213050317353296,200.0,-142.23,147.45,已结算12/13,总充值300,0.0,,,,,
2025-12-12,YK,01 5  824826453257742,200.0,0.0,0.0,已结算12/13,总充值300,0.0,,,,,
2025-12-12,YK,01 5  824826453257742,200.0,0.0,0.0,已结算12/13,总充值500,0.0,,,,,
2025-12-12,HY,21  4330212280540082,100.0,0.0,0.0,已结算12/15,开户,0.0,,,,,
2025-12-12,HY,22  851397860901834,100.0,-74.25,74.25,已结算12/13,开户,0.0,,,,,
2025-12-12,YK,01 5  824826453257742,200.0,0.0,0.0,已结算12/13,总充值700,0.0,,,,,
2025-12-12,YK,01 5  824826453257742,200.0,0.0,0.0,已结算12/13,总充值900,0.0,,,,,
2025-12-13,YK,01 5  824826453257742,300.0,0.0,0.0,已结算12/13,总充值1200,0.0,,,,,
2025-12-13,YK,01 5  824826453257742,500.0,-398.68,413.47,已结算12/13,总充值1700,0.0,,,,,
2025-12-15,HY,21  4330212280540082,100.0,-94.84,94.23,已结算12/15,总充值200,0.0,,,,,
2025-12-16,HY,23  1997287257761628,100.0,-97.06,95.99,已结算12/16,开户,0.0,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,总计,2167.81,,0.0,
