日期,投手,账户,充值金额,户商清零金额,提交清零金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,Unnamed: 17
2025-12-08,LM,GTNH-BdT-3-13  829930202918145,开户费,,停用,/,20+8+1,20.0,/,2025-12-09 00:00:00,261.6,240.0,21.6,SZ (50-29.6)*1.09=22.24；ZZ 240*1.09=261.6
2025-12-08,HY,GTNH-BdT-3-05  820842307574581,开户费,,停用,/,,20.0,,2025-12-10 00:00:00,109.0,100.0,9.0,100*1.09=109
2025-12-08,YK,GTNH-BdT-3-06  861292372997098,开户费,,回收+20,,,20.0,,2025-12-15 00:00:00,20.0,0.0,20.0,开户费20
2025-12-08,LM,GTNH-BdT-3-13  829930202918145,10,0.0,0,已结算12/17,总充值10,0.9,(-240-SZ 60+29.6)*1.09=-260.4*1.09=-283.84,,,,,
2025-12-08,HY,GTNH-BdT-3-05  820842307574581,10,0.0,0,已结算12/12,总充值10,0.9,,,,,,
2025-12-08,YK,GTNH-BdT-3-06  861292372997098,10,-6.36,6.44,已结算12/13,总充值10,0.9,,,,,,
2025-12-08,LD,GTNH-sheet-3-18  24446710995007356,10,,,,总充值10,0.9,,,,,,
2025-12-09,HY,GTNH-BdT-3-05  820842307574581,100,-98.95,99.06,已结算12/12,总充值110,9.0,,,,,,
2025-12-09,LM,GTNH-BdT-3-13  829930202918145,100,-92.01,92.06,已结算12/17,总充值110,9.0,,,,,,
2025-12-10,LD,GTNH-sheet-3-18  24446710995007356,100,,,,总充值110,9.0,,,,,,
2025-12-11,JK,GTNH-BdT-3-14  25133039716317103,100,-77.44,77.5,已结算12/15,总充值110,9.0,充值-100+12号清零98.95+10=8.95,,,,,
2025-12-13,,,,,,,,,15.31,,,,,
2025-12-15,,,,,,,,,GTNH 77.44+15.31=92.75，开户费20,,,,,
2025-12-15,YK,GTNH-20.5 via 1+7-03  1346327923749132,开户费,,停用,,20+7+1,20.0,"开户费20-40=-20
GTNH备用金92.75-充值20=72.75",,,,,
2025-12-15,YK,GTNH-20.5 via 1+7-04  1094953789060414,开户费,,停用,,,20.0,,,,,,
2025-12-15,YK,GTNH-20.5 via 1+7-03  1346327923749132,10,,,,总充值10,0.8,,,,,,
2025-12-15,YK,GTNH-20.5 via 1+7-04  1094953789060414,10,,1.15,,总充值10,0.8,,,,,,
2025-12-17,LM,GTNH-20.5 via 1+7-03  1346327923749132,200,,,,总充值210,16.0,GTNH备用金72.75+92.01=164.76-200=-35.24,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,总计,390.6,,50.6,
