日期,投手,账户,充值金额,户商清零金额,提交清零金额,转移金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,备用金,付款截图,Unnamed: 17
2025-12-01,HY,SONZDD-ADA+7-GX-324  1138647123633445,100,-92.99,93.0192,,已结算12/3,总充值110,10.0,"SON：(1033.64+803.31+2.24-840)*1.1=1099.11
MATER：(46.34-210)*1.07-50
2号SON清零74.69、MATER277.66+7.99
SON：(1033.64+803.31+2.24+74.69-1160)*1.1-开户费60=769.27
MATER：(46.34-210+277.66+7.99-350)*1.07-50-250=543.97
",2025-11-30 00:00:00,/,1050.0,198.7,,/,SZ 30*1.07开户费+50*3=182.1，ZZ 1050+148.7+50=1248.7
2025-12-01,YK,Matepro-ADA+7-QQB-562  1568521534521890,200,-218.93,225.99,,已结算12/2,总充值310,14.0,,2025-12-04 00:00:00,1279.57,1690.0,1061.9,3853.13,,"182.1+1248.7+19*50+1690+1061.9-3853.13=1,279.57"
2025-12-01,YJ,SONZDD-ADA+7-GX-325  1588943154783624,100,-86.97,87.06988,,已结算12/5,总充值110,10.0,,2025-12-16 00:00:00,917.1499999999996,2307.56,954.1,2344.51,,开户费760+2190+194.1+SZ117.56-2344.51=917.15
2025-12-01,JK,Matepro-ADA+7-QQB-609  784285624588465,开户费,,停用,,/,50+6+1,50.0,,2025-12-17 00:00:00,1483.24,1430.0,250.1,196.86,,"1430*1.07+50*3开户费-196.86=1,483.24"
2025-12-01,HY,Matepro-ADA+7-QQB-610  780349714756896,开户费,,停用,,,,50.0,,,,,,,,
2025-12-01,LD,Matepro-ADA+7-QQB-611  777932511716933,开户费,,停用,,/,,50.0,,,,,,,,
2025-12-01,LM,Matepro-ADA+7-QQB-612  1375811934061841,开户费,,停用,,/,,50.0,,,,,,,,
2025-12-01,YK,Matepro-ADA+7-QQB-608  2524710211240896,开户费,,停用,,/,,50.0,,,,,,,,
2025-12-01,JK,Matepro-ADA+7-QQB-609  784285624588465,10,-9.97,9.97,,已结算12/4,总充值10,0.7,,,,,,,,
2025-12-01,HY,Matepro-ADA+7-QQB-610  780349714756896,10,-10,10,,已结算12/3,总充值10,0.7,,,,,,,,
2025-12-01,LD,Matepro-ADA+7-QQB-611  777932511716933,10,-1.48,1.52,,已结算12/4,总充值10,0.7,,,,,,,,
2025-12-01,LM,Matepro-ADA+7-QQB-612  1375811934061841,10,0,0,,已结算12/6,总充值10,0.7,,,,,,,,
2025-12-01,YK,Matepro-ADA+7-QQB-608  2524710211240896,10,0,0,,,总充值10,0.7,,,,,,,,
2025-12-02,YK,Matepro-ADA+7-QQB-608  2524710211240896,100,-59.71,59.71,,已结算12/4,总充值110,7.0,,,,,,,,
2025-12-02,YJ,SONZDD-ADA+7-GX- 335  1523432218043022,开户费,,停用,,/,30+10%,30.0,,,,,,,,
2025-12-02,YK,SONZDD-ADA+7-GX- 336  285143393646678,开户费,,停用,,/,,30.0,,,,,,,,
2025-12-02,YJ,SONZDD-ADA+7-GX- 335  1523432218043022,10,0,0,,/,总充值10,1.0,,,,,,,,
2025-12-02,YK,SONZDD-ADA+7-GX- 336  285143393646678,10,0,0,,已结算12/6,总充值10,1.0,,,,,,,,
2025-12-02,HY,SONZDD-ADA+7-GX- 333  666999407790336,100,0,0,,已结算12/6,总充值110,10.0,,,,,,,,
