日期,投手,账户,充值金额,户商清零金额,提交清零金额,转移金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,Unnamed: 17
2025-12-09,YJ,HA-A7482-USD(+7)-29  728100290291155,开户费,,停用,换的,/,/,0.0,"充值100，系统余额100.55-两个新户充值6=94.55

",2025-12-11 00:00:00,107.25,100.0,7.25,100*1.07+随机金额0.25=107.25
2025-12-09,YJ,HA-A7482-USD(+7)-29  728100290291155,3,-1.65,1.65,,已结算12/15,总充值3,0.21,,2025-12-17 00:00:00,107.49,100.0,7.49,随机金额0.49+100*1.07=107.49
2025-12-10,,,,,,,,,,系统余额94.55+3=97.55,2025-12-18 00:00:00,214.27,200.0,14.27,随机金额0.27+200*1.07=214.27
2025-12-11,LM,HA-XT3937-USD(+7)-32  679514395231037,开户费,,停用,,,,50.0,"系统余额94.55+充值100+清零3=197.55
-开户费93-充值6=98.55",,,,,
2025-12-11,YJ,HA-XT7729-USD(+7)-33  4146696838946444,开户费,,,,,,50.0,,,,,,
2025-12-11,LM,HA-XT3937-USD(+7)-32  679514395231037,3,0.0,0,,,总充值3,0.21,,,,,,
2025-12-11,YJ,HA-XT7729-USD(+7)-33  4146696838946444,3,,,,,总充值3,0.21,,,,,,
2025-12-11,,,随机金额,,,,,,0.25,,,,,,
2025-12-12,,,,,,,,,,系统余额98.55+2.96=101.51,,,,,
2025-12-15,,,,,,,,,,系统余额101.51+1.65=103.16,,,,,
2025-12-16,LM,HA-XT3937-USD(+7)-32  679514395231037,100,,57.21,,,总充值103,7.0,系统余额103.16-100=3.16,,,,,
2025-12-17,YJ,HA-XT7729-USD(+7)-33  4146696838946444,100,,,,,总充值103,7.0,系统余额3.16,,,,,
2025-12-17,,,随机金额,,,,,,0.49,,,,,,
2025-12-18,YJ,HA-XT7729-USD(+7)-33  4146696838946444,200,,,,,,14.0,系统余额3.16,,,,,
2025-12-18,,,随机金额,,,,,,0.27,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,总计,429.01,,29.01,
