日期,投手,账户,充值金额,户商清零金额,提交清零金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,手续费
2025-12-03,YJ，HY，LM,WNF-FLZ(+8)1867-1203-1  823554346783904,500.0,-496.19,496.36,已结算12/5,开户,70.65,"MW 2115.47
RTTY（XJP新户）TK户 189.61
CYYA(绑卡户  247.74/1.13=219.24
-1000)*1.13=-882.26，MW：2115.47-882.26=1233.21
",2025-11-01 00:00:00,,
2025-12-03,SZ1-ZQ，SZ1-HJ，SZ-LL,WNF-FLZ(+8)1868-1203-2  1485916859348947,500.0,,,,开户,70.65,,,,
2025-12-05,HY,Bteam usd 744978  1500134211199816,500.0,-499.2,499.24,已结算12/9,开户,45.4,"未扣，Lanan（绑卡户）-1000
TTKK (NM户）-500
MW：1233.21
RTTY（XJP新户）TK户 189.61",,,
2025-12-05,LM,Bteam usd 221262  829239712840850,500.0,-488.13,488.13,已结算12/16,开户,45.4,,,,
2025-12-05,,,,,,,,,"TTKK (NM户）WNF清零1496.19-500=996.19
Lanan（绑卡户）-1000-497.14=-1497.14
MW：1233.21
RTTY（XJP新户）TK户 189.61+89.05+99.7=378.36",,,
2025-12-05,HY,Bteam usd 603058  706795649111397,497.14,-497.14,497.14,已结算12/9,总充值497.14,45.140312,,,,
2025-12-09,,,,,,,,,"TTKK (NM户）WNF清零996.19
Lanan（绑卡户）-1497.14+461.91+495.81+499.2+497.14=456.92
MW：1233.21
RTTY（XJP新户）TK户 189.61+89.05+99.7=378.36",,,
2025-12-11,YJ,USA-NOUT-BVJAM-(USD+8)-722  354421909650567,500.0,,,,开户,50.45,"USA&绑卡户-1000*1.09=-1090+TTKK (NM户）WNF清零996.19=-93.81
Lanan（绑卡户）456.92
MW：1233.21-93.81=1139.4
RTTY（XJP新户）TK户 378.36",,,
2025-12-11,HY,USA-NOUT-BVJAM-(USD+8)-723  346851544112312,500.0,-497.0,497.9,已结算12/18,开户,50.45,,,,
2025-12-14,YK,ADS-SG-shopback-486   1162838522626145,500.0,,,,开户,60.55,"BBXF（新加坡户）-500*1.11+MW：1139.4=584.4
USA&绑卡户 0
Lanan（绑卡户）456.92
RTTY（XJP新户）TK户 378.36",,,
2025-12-16,,,,,,,,,"MW：584.4
USA&绑卡户 0
Lanan（绑卡户）456.92+488.13=945.05
RTTY（XJP新户）TK户 378.36",,,
2025-12-18,,,,,,,,,"MW：584.4
USA&绑卡户 497
Lanan（绑卡户）456.92+488.13=945.05
RTTY（XJP新户）TK户 378.36",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,总计,0.0,0.0
