日期,投手,账户,充值金额,户商清零金额,提交清零金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,Unnamed: 17
2025-12-10,YK,Wauy-37  1430924101937692,开户费,,停用,/,,30.0,-396,2025-12-10 00:00:00,396.0,300.0,96.0,300*1.02+30*3开户费=396
2025-12-10,YK,Wauy-34  1883747325548695,开户费,,停用,,,30.0,,,,,,
2025-12-10,YK,Wauy-40  2088133352000383,开户费,,,,,30.0,,,,,,
2025-12-10,YK,Wauy-37  1430924101937692,100,-62.0,64.92,已结算12/5,开户,2.0,,,,,,
2025-12-10,YK,Wauy-38  4155349968070923,100,-85.0,86.18,已结算12/5,开户,2.0,,,,,,
2025-12-10,YK,Wauy-39  750337210708339,100,-43.0,52.06,已结算12/5,开户,2.0,,,,,,
2025-12-11,YK,Wauy-40  2088133352000383,100,-58.0,62.25,已结算12/5,开户,2.0,-408,,,,,
2025-12-11,YK,Wauy-41  33316864994565324,100,0.0,0,已结算12/5,开户,2.0,,,,,,
2025-12-11,YK,Wauy-42  1803884033625582,100,-70.0,73.1,已结算12/5,开户,2.0,,,,,,
2025-12-11,YK,Wauy-41  33316864994565324,100,-101.0,105.82,已结算12/5,总充值200,2.0,,,,,,
2025-12-15,,,,,,,,,清零419*1.02-408=19.38,,,,,
2025-12-15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,总计,396.0,,96.0,
