日期,投手,账户,充值金额,户商清零金额,提交清零金额,转移金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,备用金,Unnamed: 17
2025-12-02,SZ2-ZY,NE-QH-YQHD-123  2568916819922097,500.0,/,/,,/,开户,55.0,"ITE500、DUNG 499.96+3号清零892.38=1392.34
RED 825.8-400.38=425.42
NE497.86-500=-2.14*1.11=-2.38-1000*1.11=-1112.38
mad：-1100
待付：-1112.38-1100=-2212.38
500+1392.34-2212.38=-320.04",2025-12-03 00:00:00,320.0418,3400.38,364.0418,3444.38,"ZZ 2900.38+309.0418-3,444.38=-234.9582；SZ 500*1.11=555"
2025-12-02,HY,RED-YQ-030  818062180789978,400.38,-290.19,293.44,,已结算12/8,总充值1000（历史充值599.62）,44.0418,,2025-11-30 00:00:00,0.0,3500.0,370.0,,
2025-12-02,HY,NE-QH-ES0.EL-YQHD-19  417334393407286,500.0,-500,500,,已结算12/10,开户,55.0,,2025-12-03 00:00:00,2775.0,2500.0,275.0,,500*5*1.11=2775
2025-12-03,LM,NE-QH-ES0.EL-YQHD-08  24895271973433442,500.0,0,0,,已结算12/15,总充值1000,55.0,,2025-12-06 00:00:00,737.7838,2000.0,163.2038,1425.42,其中SZ 500*1.11=555；DUNG备用金：500；Mad-shahe备用金：500；RED待付：（425.42-500）*1.11=82.78；ne待付：500*1.11=555；SP待付 ：1100；总待付：82.78+555+1100-500-500=737.78
2025-12-03,SZ1-DC,Mad-shahe-USD-011  2477719409290225,500.0,,,,,开户,50.0,,2025-12-08 00:00:00,555.0,500.0,55.0,,500*1.1=550
2025-12-03,YK,Mad-shahe-USD-012  999118175663111,500.0,-500,500,,已结算12/9,开户,50.0,,,,,,,
2025-12-03,HY,NE-QH-ES0.EL-YQHD-33  909373809756321,500.0,,13059929,回收换户,,开户,55.0,"RED 425.42
-2775",,,,,,
2025-12-03,YJ,NE-QH-ES0.EL-YQHD-34  3033238690266351,500.0,,,,,开户,55.0,,,,,,,
2025-12-03,SZ2-FF,NE-QH-ES0.EL-YQHD-35  988044098588856,500.0,,,,,开户,55.0,,,,,,,
2025-12-03,SZ1-HJ,NE-QH-ES0.EL-YQHD-37  434551395121238,500.0,,,,,开户,55.0,,,,,,,
2025-12-03,SZ-LL,NE-QH-ES0.EL-YQHD-36  964775544130422,500.0,,,,,开户,55.0,,,,,,,
2025-12-03,LM,NE-QH-ES0.EL-YQHD-08  24895271973433442,500.0,-287.82,287.9,,已结算12/15,总充值1500,55.0,-555,,,,,,
2025-12-04,LD,Snow-ken 003-0136  705969783761229,500.0,-495.67,495.7,,已结算12/11,开户,50.0,ITE041换,,,,,,
2025-12-04,,,,,,,,,,RED425.42、DUNG500、NE -500*0.11,,,,,,
2025-12-05,HY,NE-QH-ES0.EL-YQHD-48  285538523607706,500.0,-497.76,497.811592,ne33换的,已结算12/10,开户,55.0,/,,,,,,
2025-12-06,JK,SP-USS-QFL-(-8)-1157  2118484581894541,500.0,-491.83,491.9,,已结算12/11,开户,50.0,"RED425.42、DUNG500、NE -500*0.11、MAD500
RED(425.42-500)*1.11-NE 555-SP 1100=-1737.78-DUNG 500-MAD500 =-737.78
",,,,,,
2025-12-06,LD,SP-USS-QFL-(-8)-1161  756787950516283,500.0,,,,,开户,50.0,,,,,,,
2025-12-06,HY,RED-YQ-039  1529690134723410,500.0,-410.73,412.51,,已结算12/13,开户,55.0,,,,,,,
2025-12-08,,,,,,,,,,RED 290.19、NE 1262.67,,,,,,
2025-12-08,HY,SP-USS-QFL-(-8)-1158  1463691708008095,500.0,-498.13,498.15,,已结算12/13,开户,50.0,-550,,,,,,
2025-12-09,LM,NE-QH-ES0.EL-YQHD-58  799433773082155,500.0,-497.99,497.99,,已结算12/15,开户,55.0,"RED 290.19、MAD500、NE 1262.67-1500=-237.33*1.11=-263.44
MAD 500-263.44=236.56",,,,,,
2025-12-09,HY,NE-QH-ES0.EL-YQHD-59  4398728350410587,500.0,-490.84,499.41,,已结算12/15,开户,55.0,,,,,,,
2025-12-09,,SZ,500.0,,,,,开户,55.0,,,,,,,
2025-12-10,HY,Snow-ken 003-0166  1889157981999659,500.0,-500,499.98,,已结算12/17,开户,50.0,NE997.76、MAD 236.56、RED 290.19、SMOW-500*1.1,,,,,,
2025-12-11,,,,,,,,,,"NE997.76+清零1000=1997.76、MAD 236.56、RED 290.19、SP 491.83
SMOW-500+清零495.68)*1.1=-4.76",,,,,,
2025-12-11,LM,ITE-NND-USD-041  868877435570308,500.0,-497.42,497.42,,已结算12/17,开户,50.0,"NE1997.76-充值1000=997.76
MAD 236.56
RED 290.19
SP 491.83
SMOW -4.76
ITE：-500*1.1",,,,,,
2025-12-11,LM,NE-QH-ES0.EL-YQHD-67  4688215881293391,500.0,-498.85,497.774595,,已结算12/19,开户,55.0,,,,,,,
2025-12-11,HY,NE-QH-ES0.EL-YQHD-68  1466372340423679,500.0,-73.33,81.5154424,,已结算12/19,开户,55.0,,,,,,,
2025-12-13,,,,-274.41,,,,,,"13号SP清零498.13、RED清零410.73
NE 997.76
MAD 236.56
SP 491.83+498.13=989.96
RED 290.19+410.73=700.92-SMOW -4.76+ITE：-500*1.1=146.16",,,,,,
2025-12-15,,,,,,,,,,"NE 997.76+清零1276.65=2274.41
MAD 236.56
SP 989.96
RED 146.16",,,,,,
2025-12-17,LM,LTM-SXG-KA-yqhd-06  1807386866575018,500.0,,,,,开户,55.0,"IT清零497.42、snow500
NE、LTM 2274.41-2000=274.41
MAD 236.56
SP 989.96
RED 146.16",,,,,,
2025-12-17,HY,LTM-SXG-KA-yqhd-07  2046023876138091,500.0,,,,,开户,55.0,,,,,,,
2025-12-17,HY,NE-QH-ES0.EL-YQHD-74  318316696844271,500.0,,12978044,,,开户,55.0,,,,,,,
2025-12-17,,NE-QH-ES0.EL-YQHD-75  248680227345086,500.0,,,,,开户,55.0,,,,,,,
2025-12-19,,,,,,,,,,"IT清零497.42、snow500
NE、LTM 274.41+572.18=846.59
MAD 236.56
SP 989.96
RED 146.16",,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,总计,4387.8256,,1227.2456,,
