日期,投手,账户,充值金额,户商清零金额,提交清零金额,转移金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,手续费
2025-12-01,HY,SHARK 004 Max1  685155037731313,100,-99.0,99.99,,已结算12/8,总充值100,7.0,-757.48-107,2025-11-01 00:00:00,,
2025-12-07,LM,BIRD 026 MAX1  3733717820255450,开户费,,停用,换的,/,/,0.0,,,,
2025-12-07,JK,BIRD 027 MAX2  4563408930597446,开户费,,停用,换的,,,0.0,,,,
2025-12-08,,,,,,,,,,SH清零198.86、BA7251107,,,
2025-12-08,YJ ，HY,BA LUMINA 2  1139748853728581,453.1941875,,,,,总充值7426107(历史175000）,36.255535,BA清零转，SH备用金198.86,,,
2025-12-09,LM,BIRD 026 MAX1  3733717820255450,99,0.0,0,,已结算12/13,总充值99,6.93,清零转,,,
2025-12-09,JK,BIRD 027 MAX2  4563408930597446,97.86,,84.52,,,总充值97.86,6.8502,,,,
2025-12-10,LM,BIRD 026 MAX1  3733717820255450,100,-91.23,93.54,,已结算12/13,总充值199,7.0,,,,
2025-12-14,YK,BIRD 048 MAX  807857005191719,91.23,,63.13,,,总充值91.23,6.3861,清零转,,,
2025-12-17,YJ ，HY,BA LUMINA 2  1139748853728581,481.9277108,,,,,总充值15426107(历史175000）,38.55421687,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,总计,0.0,0.0
