resource_name,source_file,sheet_name,row_count,column_count
12yue_shou_zhi_biao_hui_zong_2025nian_12yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年12月应收未收,97,15
12yue_shou_zhi_biao_hui_zong_2025nian_12yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年12月渠道总支出收入,80,13
12yue_shou_zhi_biao_hui_zong_2025nian_11yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年11月应收未收,65,14
12yue_shou_zhi_biao_hui_zong_2025nian_11yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年11月渠道总支出收入,74,15
12yue_shou_zhi_biao_hui_zong_2025nian_10yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年10月应收未收,53,13
12yue_shou_zhi_biao_hui_zong_2025nian_10yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年10月渠道总支出收入,81,14
12yue_shou_zhi_biao_hui_zong_2025nian_9yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年9月应收未收,55,13
12yue_shou_zhi_biao_hui_zong_2025nian_9yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年9月渠道总支出收入,87,14
12yue_shou_zhi_biao_hui_zong_2025nian_8yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年8月应收未收,80,15
12yue_shou_zhi_biao_hui_zong_2025nian_8yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年8月渠道总支出收入,93,14
12yue_shou_zhi_biao_hui_zong_2025nian_7yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年7月应收未收,59,15
12yue_shou_zhi_biao_hui_zong_2025nian_7yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年7月渠道总支出收入,91,13
12yue_shou_zhi_biao_hui_zong_2025nian_6yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年6月应收未收,54,15
12yue_shou_zhi_biao_hui_zong_2025nian_6yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年6月渠道总支出收入,65,13
12yue_shou_zhi_biao_hui_zong_2025nian_5yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年5月应收未收,62,15
12yue_shou_zhi_biao_hui_zong_2025nian_5yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年5月渠道总支出收入,104,15
12yue_shou_zhi_biao_hui_zong_2025nian_4yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年4月应收未收,97,15
12yue_shou_zhi_biao_hui_zong_2025nian_4yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年4月渠道总支出收入,105,15
12yue_shou_zhi_biao_hui_zong_2025nian_3yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年3月应收未收,27,13
12yue_shou_zhi_biao_hui_zong_2025nian_3yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年3月渠道总支出收入,108,14
12yue_shou_zhi_biao_hui_zong_2025nian_2yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年2月应收未收,60,19
12yue_shou_zhi_biao_hui_zong_2025nian_2yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年2月渠道总支出收入,89,13
12yue_shou_zhi_biao_hui_zong_2025nian_1yue_ying_shou_wei_shou,12月收支表汇总.xlsx,2025年1月应收未收,17,13
12yue_shou_zhi_biao_hui_zong_2025nian_1yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,2025年1月渠道总支出收入,127,15
12yue_shou_zhi_biao_hui_zong_shou_zhi_biao_hui_zong,12月收支表汇总.xlsx,收支表汇总,24,21
12yue_shou_zhi_biao_hui_zong_12yue_ying_shou_wei_shou,12月收支表汇总.xlsx,12月应收未收,13,13
12yue_shou_zhi_biao_hui_zong_12yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,12月渠道总支出收入,117,16
12yue_shou_zhi_biao_hui_zong_11yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,11月渠道总支出收入,117,16
12yue_shou_zhi_biao_hui_zong_11yue_ying_shou_wei_shou,12月收支表汇总.xlsx,11月应收未收,23,14
12yue_shou_zhi_biao_hui_zong_10yue_ying_shou_wei_shou,12月收支表汇总.xlsx,10月应收未收,12,9
12yue_shou_zhi_biao_hui_zong_10yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,10月渠道总支出收入,131,16
12yue_shou_zhi_biao_hui_zong_9yue_ying_shou_wei_shou,12月收支表汇总.xlsx,9月应收未收,35,13
12yue_shou_zhi_biao_hui_zong_9yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,9月渠道总支出收入,92,13
12yue_shou_zhi_biao_hui_zong_8yue_ying_shou_wei_shou,12月收支表汇总.xlsx,8月应收未收,19,8
12yue_shou_zhi_biao_hui_zong_8yue_qu_dao_zong_zhi_chu_shou_ru,12月收支表汇总.xlsx,8月渠道总支出收入,54,8
